ol2591918.501308
CCNY     19/09/2025 18:49:13 19/09/2025 18:50:13 0080 -073.950000 0040.821000 00.0 00.0 "Lamp to Acq 175.538us, far acq to gate is 5.0 us;  near range use Gated detectors, 0.26 us, no NDF, Lab-lidar, new flash-lamps day2"
0001201 0020 0000000 0020 08 0000000 0020 0000000 0000
1 0 1 08000 1 0770 3.75 00287.o 0 0 01 000 16 001201 0.500 BT0
1 1 1 08000 1 0770 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC0
1 0 1 08000 1 0810 3.75 00299.o 0 0 01 000 16 001201 0.500 BT1
1 1 1 08000 1 0810 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC1
1 0 1 08000 1 0780 3.75 00287.o 0 0 01 000 16 001201 0.500 BT2 "Near Range"
1 1 1 08000 1 0780 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC2 "Near Range"
1 0 1 08000 1 0805 3.75 00299.o 0 0 01 000 16 001201 0.500 BT3 "Near Range"
1 1 1 08000 1 0805 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC3 "Near Range"
287.000 .o Analog 0 	287.000 .o Photon Counting 0 	299.000 .o Analog 1 	299.000 .o Photon Counting 1 	287.000 .o Analog 2 	287.000 .o Photon Counting 2 	299.000 .o Analog 3 	299.000 .o Photon Counting 3 
6.85401	1.33222	5.54882	0	5.2583	0	5.80234	0
6.94383	1.59867	5.56151	0	5.24516	0	5.80593	0
7.0743	1.93172	5.58962	0	5.23414	0	5.80143	0
7.22532	1.56536	5.62681	0	5.20551	0	5.79363	0
7.32425	1.46545	5.64375	0	5.17874	0	5.79347	0
7.40371	1.33222	5.6578	0	5.18614	0	5.78368	0
7.50734	1.96503	5.67354	0	5.17517	0	5.78069	0
7.59157	1.66528	5.68916	0	5.14993	0	5.77887	0
7.66511	2.19817	5.71373	0	5.14746	0	5.77593	0
7.75494	2.69775	5.73053	0	5.148	0.166528	5.77932	0.0333056
7.82041	3.5637	5.73613	0.0333056	5.13365	53.622	5.75055	70.4413
7.86818	3.26395	5.75847	0.0333056	7.34379	187.71	5.80683	190.075
7.94416	3.06411	5.78133	0	31.9598	198.068	11.2356	190.008
8.00578	2.79767	5.78939	0	81.9362	196.969	26.3556	190.042
8.05497	2.23147	5.80942	0	95.3328	197.169	33.1375	191.507
8.12253	2.63114	5.8207	0	76.7047	199.4	27.4802	189.575
8.16793	2.63114	5.82703	0	75.3635	196.803	26.1642	189.376
8.19414	3.597	5.85422	0.0333056	75.7336	199.101	27.0544	186.644
8.24295	3.26395	5.86276	0	68.0985	196.969	24.7032	187.71
8.288	3.29725	5.86922	0	65.7989	196.536	23.5942	182.914
8.31465	3.53039	5.88973	0.0666112	63.805	197.935	23.3748	184.48
8.34742	3.53039	5.88976	0	59.5318	197.535	22.0872	184.28
8.3813	2.83097	5.90363	0	57.1578	194.704	21.1633	186.311
8.38478	3.46378	5.92995	0.0333056	54.9879	196.27	20.6341	181.282
8.40667	3.46378	5.92502	0	52.1058	197.635	19.7975	181.282
8.43161	2.79767	5.93714	0	49.9341	192.606	19.0853	179.917
8.42661	3.36386	5.96095	0	48.0203	195.704	18.6298	176.686
8.44492	3.19734	5.95932	0.133222	45.9745	194.438	18.1588	178.418
8.46146	3.39717	5.96377	0.0333056	44.3609	196.769	17.6269	176.853
8.46387	3.53039	5.98144	0	42.745	194.405	17.0603	175.587
8.45403	3.39717	5.98157	0	41.0773	195.604	16.5772	175.654
