ol2591918.441221
CCNY     19/09/2025 18:43:12 19/09/2025 18:44:12 0080 -073.950000 0040.821000 00.0 00.0 "Lamp to Acq 175.538us, far acq to gate is 5.0 us;  near range use Gated detectors, 0.26 us, no NDF, Lab-lidar, new flash-lamps day2"
0001201 0020 0000000 0020 08 0000000 0020 0000000 0000
1 0 1 08000 1 0770 3.75 00287.o 0 0 01 000 16 001201 0.500 BT0
1 1 1 08000 1 0770 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC0
1 0 1 08000 1 0810 3.75 00299.o 0 0 01 000 16 001201 0.500 BT1
1 1 1 08000 1 0810 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC1
1 0 1 08000 1 0780 3.75 00287.o 0 0 01 000 16 001201 0.500 BT2 "Near Range"
1 1 1 08000 1 0780 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC2 "Near Range"
1 0 1 08000 1 0805 3.75 00299.o 0 0 01 000 16 001201 0.500 BT3 "Near Range"
1 1 1 08000 1 0805 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC3 "Near Range"
287.000 .o Analog 0 	287.000 .o Photon Counting 0 	299.000 .o Analog 1 	299.000 .o Photon Counting 1 	287.000 .o Analog 2 	287.000 .o Photon Counting 2 	299.000 .o Analog 3 	299.000 .o Photon Counting 3 
6.91744	3.5637	5.54267	0	5.2694	0	5.796	0
7.01484	3.33056	5.55725	0	5.25553	0	5.8004	0
7.14838	3.93006	5.5851	0	5.24364	0	5.79567	0
7.2978	3.597	5.61693	0	5.21449	0	5.78762	0
7.3931	3.36386	5.63431	0	5.18766	0	5.78319	0
7.48173	3.73022	5.64821	0.0333056	5.1952	0	5.77318	0
7.58805	3.53039	5.65964	0	5.18376	0	5.77341	0
7.66305	4.99584	5.67647	0	5.1576	0	5.77051	0
7.74527	4.99584	5.70473	0	5.15529	0	5.7687	0
7.8464	6.39467	5.72189	0	5.15637	0.0999167	5.77309	0
7.91932	7.86012	5.73409	0	5.14279	54.2548	5.74197	72.3397
7.97255	6.69442	5.74962	0	7.51035	189.276	5.8028	187.977
8.05023	5.86178	5.76312	0	32.9142	200.933	11.3015	190.974
8.11441	6.86095	5.77544	0	84.4196	197.002	26.2407	188.443
8.16562	6.79434	5.80022	0	98.4404	197.369	32.6008	189.842
8.24454	5.89509	5.81016	0	79.0849	198.102	26.9432	190.108
8.30297	7.06078	5.82071	0	77.6783	198.568	25.5855	187.577
8.33646	6.99417	5.84391	0.0666112	78.3074	196.636	26.4207	186.478
8.3814	7.06078	5.84797	0.0333056	70.3068	197.435	24.2969	186.378
8.42513	6.76103	5.85767	0	68.0299	198.834	23.1752	187.51
8.46454	7.194	5.8805	0.0333056	66.251	199.001	22.9125	185.712
8.5022	7.1607	5.88184	0.0333056	61.4338	197.369	21.8301	185.379
8.53549	6.79434	5.90011	0.0333056	58.8613	195.77	20.8854	182.548
8.54463	7.66028	5.92244	0	56.9768	197.002	20.3154	182.115
8.57737	7.26062	5.91946	0.0666112	54.0793	196.936	19.6183	178.485
8.60435	8.25978	5.93189	0.0999167	51.8737	195.604	18.9364	180.216
8.59954	7.49376	5.94719	0.0666112	50.0157	195.903	18.4348	179.217
8.61711	6.49459	5.94824	0.0333056	47.7855	194.138	17.9085	176.886
8.63062	6.86095	5.95693	0.0666112	45.7967	196.037	17.3638	177.719
8.63006	6.39467	5.97152	0	44.1411	196.603	16.8307	175.887
8.63058	6.62781	5.97297	0.0333056	42.4421	196.536	16.2933	175.62
8.629	7.29392	5.97789	0	40.8121	196.336	15.9097	172.823
8.61703	7.39384	5.98826	0	39.4024	193.206	15.6281	172.023
8.60233	6.86095	5.99182	0.0999167	38.1283	193.605	15.2045	173.022
8.59063	6.62781	5.99172	0.0333056	36.7686	193.006	14.7806	168.593
8.58147	7.09409	5.99791	0.0333056	35.4297	192.04	14.4776	167.327
8.56215	6.72773	6.00151	0.0999167	34.2999	191.574	14.1489	167.594
8.53327	6.72773	6.00732	0	33.2193	191.807	13.8337	164.796
8.50693	6.72773	6.00885	0	32.1767	190.241	13.5839	164.896
8.48012	5.82848	6.00423	0	31.157	191.474	13.2428	161.532
8.44396	6.19484	5.99831	0.0333056	29.9698	188.976	12.9174	163.297
8.3966	5.59534	5.99274	0	29.1511	192.773	12.7058	162.831
8.35027	5.16236	5.98926	0	28.6496	189.442	12.502	158.468
8.31786	4.82931	5.98576	0.0333056	27.7925	188.343	12.3068	160.866
8.27327	4.89592	5.97925	0.0666112	26.8422	188.676	12.1308	158.435
8.22406	4.92923	5.97368	0.0333056	26.1382	186.545	11.9323	155.337
8.17755	4.99584	5.96939	0	25.4633	186.811	11.7087	155.637
8.13309	4.46295	5.9598	0	24.7345	188.177	11.4518	154.505
8.08961	4.39634	5.95153	0.0333056	24.0361	186.478	11.2603	153.705
8.04015	4.02998	5.94757	0.0333056	23.4347	185.612	11.1454	151.141
7.985	3.69692	5.93852	0	22.8921	187.977	10.952	150.674
7.93792	3.99667	5.92866	0.0333056	22.349	184.18	10.7719	147.943
7.89158	3.43047	5.92064	0	21.8205	185.179	10.6738	147.477
7.84408	3.43047	5.91331	0.0333056	21.2778	181.182	10.5396	145.512
7.79549	2.93089	5.90145	0.0333056	20.7635	183.447	10.3274	144.18
7.73998	3.19734	5.89033	0	20.3319	180.283	10.1614	142.415
7.6878	3.13072	5.87806	0	19.8668	180.583	10.1528	142.581
7.64877	2.66445	5.8704	0	19.3381	181.082	10.0203	142.115
7.6046	2.9642	5.86149	0	18.996	181.682	9.85196	137.452
7.55224	3.06411	5.85096	0	18.7866	180.117	9.83134	137.019
7.50806	2.66445	5.8361	0	18.3123	178.185	9.69283	138.618
7.46192	2.19817	5.82585	0	17.7952	178.918	9.50659	135.554
7.40812	2.49792	5.81806	0	17.4826	177.952	9.45813	135.62
7.36704	2.33139	5.80892	0.0333056	17.2	176.52	9.36198	128.993
7.3245	2.29808	5.79753	0.0333056	16.8697	174.788	9.26013	129.425
7.27618	2.23147	5.78806	0	16.5038	176.486	9.16823	128.56
7.23196	2.56453	5.77699	0	16.152	176.087	9.04521	127.694
7.19463	2.16486	5.76738	0	15.8833	174.521	8.98539	125.695
7.15296	1.66528	5.75777	0	15.6197	176.453	8.95703	125.729
7.10973	1.56536	5.74743	0	15.3262	173.722	8.85296	124.097
7.07584	1.39883	5.73303	0	15.1019	173.389	8.76151	123.064
7.03555	1.69858	5.72494	0	14.8831	174.221	8.7212	122.398
6.99337	1.29892	5.71879	0	14.6339	170.058	8.64358	121.366
6.95991	1.1657	5.71026	0	14.3826	171.124	8.56623	120.666
6.92693	1.36553	5.6998	0	14.0659	170.391	8.53059	116.969
6.88898	1.53206	5.69199	0	13.8234	170.358	8.47642	113.505
6.85434	0.999167	5.68169	0	13.714	166.028	8.37537	118.235
6.82199	0.932556	5.67659	0.0333056	13.4993	168.26	8.28806	113.705
6.78852	0.799334	5.6693	0	13.2144	165.229	8.25705	113.439
6.75773	1.13239	5.65823	0	13.0913	165.096	8.19259	111.207
6.72555	0.766028	5.65117	0	12.922	167.094	8.12415	110.042
6.6866	0.566195	5.64462	0	12.6575	164.863	8.11989	108.576
6.65687	0.865945	5.63645	0	12.5354	165.396	8.07956	108.443
6.63212	0.732723	5.62847	0	12.3778	162.731	8.00906	107.444
6.60437	0.499584	5.62144	0	12.1441	164.43	7.96917	105.679
6.57872	0.799334	5.615	0	12.0149	161.865	7.92623	103.347
6.55087	0.632806	5.60942	0	11.9005	161.565	7.87502	103.314
6.52512	0.466278	5.60602	0	11.7396	160.666	7.79807	102.281
6.50193	0.799334	5.59582	0	11.5878	160.1	7.723	98.851
6.47559	0.699417	5.58816	0	11.3983	159.267	7.738	99.2173
6.44654	0.29975	5.58235	0	11.2577	161.199	7.71044	99.0841
6.41991	0.366361	5.57537	0	11.1843	159.034	7.62972	97.8185
6.39761	0.266445	5.57278	0	11.0917	156.903	7.60787	95.9201
6.38377	0.29975	5.5662	0	10.9377	158.768	7.58418	95.2206
6.36118	0.732723	5.55646	0	10.7841	155.304	7.52532	96.3863
6.33087	0.366361	5.55594	0	10.6529	154.771	7.48304	91.9567
6.31102	0.399667	5.55209	0	10.5336	154.371	7.476	92.3897
6.29525	0.333056	5.54502	0	10.4686	156.669	7.45065	89.9917
6.2742	0.333056	5.53981	0	10.3586	150.475	7.38339	87.3938
6.25384	0.233139	5.53568	0	10.1963	153.938	7.34558	87.0608
6.23136	0.29975	5.52788	0	10.1033	150.241	7.32361	87.8601
6.21552	0.266445	5.5223	0	10.0469	152.206	7.29062	83.9634
6.20084	0.199833	5.51786	0	9.96694	150.075	7.26687	86.5945
6.18234	0.166528	5.51429	0	9.83041	149.209	7.23146	84.03
6.16738	0.233139	5.5106	0	9.70028	148.976	7.21191	83.4638
6.15043	0.233139	5.50351	0	9.63239	145.279	7.2007	82.4313
6.12662	0.29975	5.49938	0	9.5664	147.577	7.16131	81.2323
6.11006	0.233139	5.49799	0	9.4833	144.446	7.12977	83.7302
6.09698	0.133222	5.49322	0	9.38061	144.646	7.12852	79.8002
6.07697	0.166528	5.48801	0	9.31565	144.58	7.12465	80.3664
6.05749	0.199833	5.48411	0	9.24352	142.881	7.09673	79.7336
6.04816	0.0999167	5.48341	0	9.15919	140.816	7.0519	77.1357
6.03632	0.0999167	5.47961	0	9.11447	142.681	7.03349	76.4696
6.02451	0.166528	5.47382	0	9.06014	140.05	7.00341	70.9076
6.01056	0.133222	5.46911	0	8.93335	138.251	6.97027	74.3714
5.99184	0.0666112	5.46613	0	8.78567	138.684	6.94374	74.3047
5.97565	0.0333056	5.46348	0	8.7249	136.619	6.92815	73.7386
5.966	0.0333056	5.46041	0	8.70631	136.187	6.94412	72.2398
5.95446	0.0666112	5.4574	0	8.63289	136.187	6.92792	71.4405
5.94038	0.133222	5.45506	0	8.56058	134.888	6.8816	70.9742
5.92822	0.0999167	5.45042	0	8.51694	134.754	6.87271	70.4746
5.91688	0.266445	5.44527	0	8.43823	131.624	6.8677	68.1432
5.90512	0.0666112	5.4419	0	8.37862	133.189	6.83123	66.9442
5.89804	0.0333056	5.44062	0	8.34205	133.489	6.80496	69.3755
5.88591	0.0999167	5.43831	0	8.28116	129.925	6.78459	67.2773
5.87045	0.199833	5.43535	0	8.26064	127.127	6.79425	66.2448
5.86077	0.0666112	5.43289	0	8.2294	128.46	6.80568	65.8784
5.8501	0.199833	5.42901	0	8.10022	124.496	6.75273	64.3464
5.8394	0.0666112	5.42584	0	8.02119	126.295	6.71767	61.582
5.83121	0.0333056	5.42378	0	7.99813	124.829	6.71428	64.9126
5.82165	0.0333056	5.41982	0	7.96344	125.529	6.69102	60.5828
5.80986	0.0333056	5.41798	0	7.92511	124.629	6.68298	62.0816
5.79997	0.0999167	5.41578	0	7.86714	120.3	6.66465	59.4505
5.79167	0	5.41199	0	7.81756	123.397	6.64767	58.7843
5.78312	0	5.41047	0	7.7436	120.2	6.64039	59.4838
5.77455	0.0666112	5.40984	0	7.66796	119.034	6.61505	59.3505
