ol2591919.241799
CCNY     19/09/2025 19:23:18 19/09/2025 19:24:17 0080 -073.950000 0040.821000 00.0 00.0 "Lamp to Acq 175.538us, far acq to gate is 5.0 us;  near range use Gated detectors, 0.26 us, no NDF, Lab-lidar, new flash-lamps day2"
0001201 0020 0000000 0020 08 0000000 0020 0000000 0000
1 0 1 08000 1 0770 3.75 00287.o 0 0 01 000 16 001201 0.500 BT0
1 1 1 08000 1 0770 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC0
1 0 1 08000 1 0810 3.75 00299.o 0 0 01 000 16 001201 0.500 BT1
1 1 1 08000 1 0810 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC1
1 0 1 08000 1 0780 3.75 00287.o 0 0 01 000 16 001201 0.500 BT2 "Near Range"
1 1 1 08000 1 0780 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC2 "Near Range"
1 0 1 08000 1 0805 3.75 00299.o 0 0 01 000 16 001201 0.500 BT3 "Near Range"
1 1 1 08000 1 0805 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC3 "Near Range"
287.000 .o Analog 0 	287.000 .o Photon Counting 0 	299.000 .o Analog 1 	299.000 .o Photon Counting 1 	287.000 .o Analog 2 	287.000 .o Photon Counting 2 	299.000 .o Analog 3 	299.000 .o Photon Counting 3 
6.87223	2.86428	5.56371	0	5.25695	0	5.80275	0
6.96931	3.5637	5.57567	0	5.24882	0	5.80493	0
7.10586	2.69775	5.60969	0	5.23669	0	5.8013	0
7.26116	2.26478	5.64589	0	5.20605	0	5.79252	0
7.35809	2.76436	5.65513	0	5.18002	0	5.78946	0
7.43456	2.83097	5.66729	0	5.18745	0	5.78096	0
7.53553	3.16403	5.68353	0	5.17421	0	5.77957	0
7.61945	3.79684	5.70045	0.0333056	5.14921	0	5.77541	0
7.69745	3.63031	5.72725	0	5.14939	0	5.77311	0
7.79427	4.69609	5.74501	0.0333056	5.14798	0.233139	5.77609	0.133222
7.86196	5.22898	5.75473	0.0333056	5.13286	55.3872	5.74961	65.4122
7.90114	5.79517	5.77741	0	7.44482	190.341	5.80563	190.341
7.98131	5.59534	5.7941	0	32.5933	197.968	11.2703	193.139
8.05109	4.46295	5.80315	0.0333056	83.1383	196.936	26.6701	191.54
8.09434	5.26228	5.82656	0.0333056	96.5588	198.601	33.6653	187.311
8.16597	5.02914	5.83909	0	78.0776	196.003	27.9674	188.11
8.21671	4.72939	5.84897	0	76.8876	196.403	26.5275	190.142
8.24625	4.82931	5.87341	0.0666112	76.9682	195.77	27.3641	188.243
8.29982	4.56286	5.87845	0	69.2859	197.435	25.1329	186.112
8.34795	4.36303	5.88571	0	67.1551	195.304	23.9695	186.345
8.37305	5.69525	5.90734	0	65.0959	197.202	23.6259	185.179
8.40174	5.46211	5.9107	0	60.6435	199.8	22.5471	183.314
8.43364	4.49625	5.92415	0.0666112	58.2829	199.867	21.7096	184.58
8.45268	5.3622	5.94906	0	56.0424	195.57	20.932	182.515
8.47603	5.09575	5.94882	0	53.1807	196.003	20.0949	181.482
8.48591	4.1632	5.95673	0.0333056	51.0815	196.903	19.5603	180.616
8.48397	5.76187	5.97541	0	48.9766	196.336	18.9796	178.351
8.5045	5.19567	5.98322	0.0333056	46.9351	195.104	18.3688	176.953
8.50897	5.29559	5.98999	0.0333056	45.364	196.669	17.8563	180.183
8.50064	4.89592	6.00078	0.0333056	43.6505	193.938	17.3425	176.453
8.49908	5.02914	5.99994	0	41.8316	195.171	16.8227	176.853
8.49688	5.42881	6.00275	0.0333056	40.3002	193.405	16.3595	174.654
8.48071	4.92923	6.01221	0.0666112	38.7604	190.341	15.9452	174.788
8.47211	4.72939	6.01413	0.0333056	37.3503	195.271	15.552	172.556
8.45938	4.46295	6.0181	0.0333056	36.282	192.473	15.1969	171.49
8.43731	5.02914	6.02441	0	35.0411	192.973	14.9021	170.624
8.42396	5.19567	6.02076	0	33.8209	191.973	14.5617	168.826
8.39909	3.89675	6.02173	0	32.7584	192.406	14.2001	167.194
8.35442	4.46295	6.02333	0.0333056	31.678	191.107	13.9417	166.961
8.33111	4.26311	6.0231	0.0333056	30.7863	189.176	13.6145	164.463
8.30246	4.22981	6.02261	0.0333056	29.9002	190.108	13.2566	166.062
8.25359	3.99667	6.01886	0.0999167	28.8619	190.308	13.0601	161.932
8.20961	3.43047	6.01226	0.0999167	28.0275	187.211	12.8701	162.431
8.17292	4.02998	6.01061	0	27.2864	187.077	12.5914	160.466
8.13103	3.93006	6.00126	0.0333056	26.6454	188.876	12.3277	158.435
8.0898	3.83014	5.99319	0.0333056	25.9948	188.443	12.1364	157.169
8.04861	3.26395	5.98926	0.0333056	25.1308	186.045	11.9257	158.668
8.00829	3.39717	5.98196	0.0666112	24.4151	185.312	11.7584	155.704
7.95891	3.39717	5.96809	0.0333056	23.8501	185.312	11.5674	153.006
7.91335	2.89759	5.95912	0.0333056	23.1536	185.745	11.3267	154.205
7.86648	2.89759	5.95491	0	22.5442	184.28	11.1864	150.741
7.81681	3.26395	5.94766	0	22.0324	182.381	11.0858	149.475
7.76786	2.26478	5.93647	0	21.5191	183.813	10.879	149.042
7.72059	2.89759	5.92572	0	21.0803	183.447	10.625	147.244
7.6782	1.96503	5.91494	0.0333056	20.6499	183.414	10.5238	150.108
7.63079	2.49792	5.90753	0	20.0977	182.115	10.4736	145.945
7.58303	2.43131	5.89603	0	19.574	181.016	10.3415	142.148
7.543	2.59784	5.88706	0	19.2232	180.616	10.2044	141.848
7.49443	2.03164	5.87755	0	18.7977	177.652	10.0549	140.849
7.44557	1.66528	5.86703	0	18.3976	181.082	9.92568	140.983
7.40212	1.66528	5.8541	0.0333056	18.1021	177.219	9.84353	139.417
7.35705	1.7652	5.84283	0	17.6989	177.519	9.73507	138.585
7.31671	1.7652	5.83374	0	17.2514	177.619	9.60003	136.087
7.2788	1.36553	5.8226	0	16.8707	177.119	9.5375	135.72
7.23541	1.56536	5.81193	0.0333056	16.6048	176.187	9.51917	134.255
7.19126	1.43214	5.80124	0	16.4249	177.552	9.3901	133.389
7.14456	1.73189	5.79101	0	16.1006	174.988	9.26653	129.226
7.10527	1.199	5.78334	0	15.6849	174.854	9.16792	128.36
7.07002	1.36553	5.77053	0	15.3796	172.59	9.01379	127.361
7.03388	2.16486	5.75665	0	15.1437	172.356	8.94338	126.228
6.99338	1.26561	5.75249	0	14.9458	172.823	8.91511	125.096
6.95923	1.36553	5.74965	0	14.7039	171.757	8.80472	125.096
6.92159	1.199	5.73704	0	14.4668	173.555	8.73841	121.632
6.88419	0.932556	5.72427	0	14.2806	170.658	8.71686	121.332
6.85163	1.1657	5.7165	0	14.0539	169.459	8.60383	120.133
6.82062	0.965862	5.70952	0	13.8096	169.792	8.54296	118.834
6.78658	0.732723	5.7013	0	13.6287	168.326	8.5343	116.836
6.75581	0.799334	5.68825	0	13.3877	169.192	8.43356	115.137
6.72753	1.13239	5.67758	0	13.1575	168.326	8.35731	113.838
6.69269	1.199	5.67427	0	12.9499	166.561	8.29962	115.171
6.65678	0.732723	5.66601	0	12.7336	165.096	8.22852	113.172
6.63067	1.1657	5.6571	0	12.5774	165.695	8.2322	110.708
6.60343	0.865945	5.65004	0	12.4129	163.464	8.16877	110.275
6.57668	0.532889	5.64174	0	12.2456	163.697	8.04851	111.307
6.55288	0.799334	5.63253	0	12.0858	161.565	8.0162	106.045
6.52555	0.532889	5.62761	0	11.9025	161.565	8.01889	103.913
6.49074	0.566195	5.6214	0	11.7419	160.666	7.95919	105.179
6.46594	0.566195	5.61394	0	11.6041	159.001	7.88978	104.513
6.44641	0.366361	5.60814	0	11.4403	159.434	7.83769	103.98
6.42034	0.399667	5.60195	0	11.3411	158.634	7.79473	100.083
6.3942	0.766028	5.59327	0	11.2525	160.466	7.76242	99.9833
6.37413	0.666112	5.58709	0	11.0822	156.869	7.71619	100.883
6.35155	0.366361	5.58347	0	10.9493	156.703	7.65807	101.749
6.33102	0.399667	5.57739	0	10.8381	158.335	7.64264	97.5853
6.30886	0.499584	5.56988	0	10.6731	156.103	7.65995	95.8201
6.28809	0.466278	5.56686	0	10.5941	155.404	7.62799	95.1873
6.26984	0.333056	5.56258	0	10.4918	155.67	7.55743	93.3555
6.25216	0.499584	5.55463	0	10.2945	154.904	7.51037	93.0558
6.23028	0.5995	5.54828	0	10.2037	151.274	7.4754	89.0258
6.21022	0.266445	5.54592	0	10.1562	150.874	7.41183	90.3247
6.19042	0.333056	5.53981	0	10.0459	154.205	7.35327	88.7261
6.17418	0.432973	5.53268	0	9.98618	150.108	7.34141	87.96
6.15336	0.532889	5.52692	0	9.88641	147.91	7.35938	86.2281
6.13243	0.366361	5.52486	0	9.69678	148.043	7.31088	86.8943
6.11784	0.199833	5.51994	0	9.62007	146.744	7.23672	85.5287
6.10171	0.366361	5.51376	0.0333056	9.57617	147.477	7.22731	83.9301
6.08108	0.29975	5.50997	0	9.454	143.913	7.21673	81.8318
6.06426	0.199833	5.5064	0	9.34441	144.446	7.17997	81.632
6.04768	0.199833	5.50395	0	9.27255	144.879	7.13998	81.5987
6.03772	0.0999167	5.49628	0	9.19848	142.182	7.12967	80.5662
6.02207	0.166528	5.48979	0	9.11137	144.246	7.13429	78.9009
6.00216	0.266445	5.48835	0	8.99798	140.416	7.09514	78.8676
5.98818	0.233139	5.48555	0	8.91977	139.883	7.07227	80.1665
5.98101	0.133222	5.48157	0	8.88525	138.651	7.05023	77.4688
5.9655	0.0666112	5.47843	0	8.80916	139.75	7.02811	75.204
5.95054	0.166528	5.4726	0	8.76084	139.184	7.0196	76.3697
5.94424	0.199833	5.46824	0	8.73186	138.018	6.98577	73.7386
5.93014	0.0333056	5.46576	0	8.63464	135.42	6.9654	74.438
5.91244	0.0999167	5.46131	0	8.57491	135.654	6.94937	72.2731
5.90224	0.233139	5.45842	0	8.55633	135.087	6.91963	73.8718
5.89092	0.133222	5.45869	0	8.4636	134.821	6.91084	70.1749
5.88266	0.266445	5.45393	0	8.35426	132.989	6.89955	70.9409
5.87079	0.133222	5.44846	0	8.34975	132.823	6.86464	67.3106
5.85847	0.199833	5.44877	0	8.30194	131.091	6.83889	67.7769
5.84624	0.0666112	5.44587	0	8.20249	130.225	6.82782	68.4763
5.8329	0.133222	5.439	0	8.17527	128.06	6.80002	66.378
5.82429	0.0333056	5.43724	0	8.1254	126.261	6.79026	65.1124
5.81796	0.0666112	5.43599	0	8.03216	127.194	6.78211	64.8793
5.80396	0.0999167	5.43005	0	7.95219	125.429	6.74082	64.3131
5.79145	0.0999167	5.42939	0	7.91692	125.762	6.7329	62.5146
5.78393	0.0666112	5.42648	0	7.92923	122.864	6.74097	65.0458
5.77853	0.0333056	5.4221	0	7.8832	122.798	6.70471	60.1166
5.76877	0.0666112	5.42169	0	7.79868	123.064	6.68655	62.8809
5.7604	0.0999167	5.41906	0	7.75975	121.699	6.67651	62.1149
5.7544	0.0999167	5.4154	0	7.73862	120.699	6.65447	59.8501
5.74425	0.0333056	5.41497	0	7.67031	118.235	6.66432	59.4838
5.73244	0.0333056	5.4108	0	7.63771	121.932	6.65482	57.1524
5.7275	0.0999167	5.40716	0	7.6102	117.069	6.61337	60.816
5.71873	0	5.40965	0	7.57393	117.502	6.59257	57.4188
5.7125	0.166528	5.40737	0	7.53272	115.604	6.61232	58.0516
5.70564	0.0999167	5.40164	0	7.46514	114.638	6.6229	56.8193
5.69514	0.0666112	5.4005	0	7.42905	114.804	6.58709	57.1857
5.6885	0.0666112	5.39824	0	7.37487	113.972	6.56187	56.9192
5.6848	0.0666112	5.39561	0	7.33584	109.342	6.55702	55.6869
5.67488	0.166528	5.39511	0	7.34545	109.775	6.5548	53.3555
