ol2591920.002321
CCNY     19/09/2025 19:59:23 19/09/2025 20:00:23 0080 -073.950000 0040.821000 00.0 00.0 "Lamp to Acq 175.538us, far acq to gate is 5.0 us;  near range use Gated detectors, 0.26 us, no NDF, Lab-lidar, new flash-lamps day2"
0001201 0020 0000000 0020 08 0000000 0020 0000000 0000
1 0 1 08000 1 0770 3.75 00287.o 0 0 01 000 16 001201 0.500 BT0
1 1 1 08000 1 0770 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC0
1 0 1 08000 1 0810 3.75 00299.o 0 0 01 000 16 001201 0.500 BT1
1 1 1 08000 1 0810 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC1
1 0 1 08000 1 0780 3.75 00287.o 0 0 01 000 16 001201 0.500 BT2 "Near Range"
1 1 1 08000 1 0780 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC2 "Near Range"
1 0 1 08000 1 0805 3.75 00299.o 0 0 01 000 16 001201 0.500 BT3 "Near Range"
1 1 1 08000 1 0805 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC3 "Near Range"
287.000 .o Analog 0 	287.000 .o Photon Counting 0 	299.000 .o Analog 1 	299.000 .o Photon Counting 1 	287.000 .o Analog 2 	287.000 .o Photon Counting 2 	299.000 .o Analog 3 	299.000 .o Photon Counting 3 
6.87982	4.22981	5.53131	0	5.25576	0	5.79666	0
6.97385	5.06245	5.5436	0	5.24565	0	5.79831	0
7.10221	4.22981	5.5698	0	5.23705	0	5.79666	0
7.24264	3.76353	5.60094	0	5.20583	0	5.78757	0
7.3362	3.53039	5.61827	0	5.17716	0	5.78462	0
7.42316	3.99667	5.62999	0	5.18485	0	5.77574	0
7.52273	4.69609	5.63935	0	5.16975	0	5.77644	0
7.60649	5.16236	5.65853	0	5.1454	0	5.77182	0
7.69515	4.06328	5.68734	0	5.1441	0	5.76911	0
7.78962	5.42881	5.70141	0	5.14342	0.366361	5.77395	0.0333056
7.85565	7.49376	5.71077	0	5.13121	51.1241	5.74399	68.8426
7.91196	6.09492	5.73258	0	7.4456	188.077	5.79284	190.241
7.99302	6.12823	5.74503	0	32.7126	196.103	11.1179	191.041
8.05437	6.06162	5.75432	0	84.1658	198.901	25.9467	187.877
8.1062	6.19484	5.77811	0	98.4244	198.135	32.4923	189.276
8.17509	6.49459	5.78787	0.0333056	79.4215	197.669	26.9189	189.575
8.21839	6.42798	5.79485	0	77.7755	196.103	25.7221	190.308
8.25629	5.82848	5.81528	0	77.9786	199.101	26.5647	188.943
8.31739	7.06078	5.82714	0	70.0066	199.134	24.2682	184.913
