ol2591919.492162
CCNY     19/09/2025 19:48:21 19/09/2025 19:49:21 0080 -073.950000 0040.821000 00.0 00.0 "Lamp to Acq 175.538us, far acq to gate is 5.0 us;  near range use Gated detectors, 0.26 us, no NDF, Lab-lidar, new flash-lamps day2"
0001201 0020 0000000 0020 08 0000000 0020 0000000 0000
1 0 1 08000 1 0770 3.75 00287.o 0 0 01 000 16 001201 0.500 BT0
1 1 1 08000 1 0770 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC0
1 0 1 08000 1 0810 3.75 00299.o 0 0 01 000 16 001201 0.500 BT1
1 1 1 08000 1 0810 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC1
1 0 1 08000 1 0780 3.75 00287.o 0 0 01 000 16 001201 0.500 BT2 "Near Range"
1 1 1 08000 1 0780 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC2 "Near Range"
1 0 1 08000 1 0805 3.75 00299.o 0 0 01 000 16 001201 0.500 BT3 "Near Range"
1 1 1 08000 1 0805 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC3 "Near Range"
287.000 .o Analog 0 	287.000 .o Photon Counting 0 	299.000 .o Analog 1 	299.000 .o Photon Counting 1 	287.000 .o Analog 2 	287.000 .o Photon Counting 2 	299.000 .o Analog 3 	299.000 .o Photon Counting 3 
6.8429	3.76353	5.53502	0	5.25907	0	5.79471	0
6.93059	3.69692	5.54617	0	5.24973	0	5.79691	0
7.06522	3.76353	5.57527	0	5.23598	0	5.79323	0
7.21625	3.16403	5.60813	0	5.20528	0	5.78642	0
7.30755	3.66361	5.62127	0	5.1791	0	5.78447	0
7.38959	3.53039	5.63708	0	5.18691	0	5.77334	0
7.49987	3.93006	5.64902	0	5.17254	0	5.77436	0
7.58247	4.59617	5.6627	0	5.14771	0	5.77029	0
7.65539	4.796	5.69238	0.0333056	5.14693	0	5.76825	0
7.74751	6.32806	5.71119	0	5.14482	0.266445	5.77114	0.0666112
7.82407	7.92673	5.7219	0.0333056	5.13121	55.0208	5.74284	67.8102
7.88684	6.76103	5.74212	0	7.475	187.144	5.79947	191.474
7.96416	6.42798	5.75227	0	32.8531	198.535	11.2794	190.708
8.02396	5.32889	5.75629	0	84.2361	196.669	26.5133	189.376
8.08155	6.09492	5.78283	0	98.2462	198.368	33.1842	188.743
8.15448	6.82764	5.79954	0	79.1599	197.102	27.3346	185.379
8.2	6.62781	5.80343	0.0333056	77.7234	198.002	25.9961	189.609
8.24441	7.06078	5.82469	0	78.2214	197.402	26.9242	186.378
8.31746	7.09409	5.83645	0.0333056	70.2013	195.337	24.6705	185.679
