ol2591919.341945
CCNY     19/09/2025 19:33:19 19/09/2025 19:34:19 0080 -073.950000 0040.821000 00.0 00.0 "Lamp to Acq 175.538us, far acq to gate is 5.0 us;  near range use Gated detectors, 0.26 us, no NDF, Lab-lidar, new flash-lamps day2"
0001201 0020 0000000 0020 08 0000000 0020 0000000 0000
1 0 1 08000 1 0770 3.75 00287.o 0 0 01 000 16 001201 0.500 BT0
1 1 1 08000 1 0770 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC0
1 0 1 08000 1 0810 3.75 00299.o 0 0 01 000 16 001201 0.500 BT1
1 1 1 08000 1 0810 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC1
1 0 1 08000 1 0780 3.75 00287.o 0 0 01 000 16 001201 0.500 BT2 "Near Range"
1 1 1 08000 1 0780 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC2 "Near Range"
1 0 1 08000 1 0805 3.75 00299.o 0 0 01 000 16 001201 0.500 BT3 "Near Range"
1 1 1 08000 1 0805 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC3 "Near Range"
287.000 .o Analog 0 	287.000 .o Photon Counting 0 	299.000 .o Analog 1 	299.000 .o Photon Counting 1 	287.000 .o Analog 2 	287.000 .o Photon Counting 2 	299.000 .o Analog 3 	299.000 .o Photon Counting 3 
6.92878	3.63031	5.56481	0	5.26032	0	5.80368	0
7.02907	4.22981	5.57701	0	5.24746	0	5.80504	0
7.17084	3.33056	5.61124	0	5.23562	0	5.80094	0
7.32171	2.53122	5.64438	0	5.20904	0	5.79371	0
7.41849	3.53039	5.65733	0	5.18185	0	5.78892	0
7.50483	3.53039	5.67328	0.0333056	5.18821	0	5.77884	0
7.60178	3.69692	5.68763	0	5.17214	0	5.78093	0
7.6852	3.76353	5.70642	0	5.1471	0	5.77727	0
7.77314	3.86345	5.73171	0.0333056	5.14707	0	5.77288	0
7.86707	5.22898	5.74907	0	5.1453	0.29975	5.77845	0.199833
7.93352	6.09492	5.7623	0	5.13146	53.0558	5.74805	68.343
7.98341	6.36137	5.78264	0.0333056	7.43773	187.311	5.82939	189.475
8.06386	5.66195	5.79477	0	32.7755	196.669	11.4957	191.041
8.12652	5.3955	5.8025	0.0333056	84.3331	196.636	26.9409	193.838
8.17295	6.36137	5.82683	0	98.3993	198.934	33.6827	187.211
8.23872	5.3955	5.84334	0.0333056	79.2997	198.002	27.959	190.275
8.28557	5.89509	5.8524	0	78.0134	198.468	26.5149	190.008
8.31862	5.16236	5.87395	0	78.5832	198.401	27.1589	188.31
8.37487	6.42798	5.87919	0	70.6095	197.102	25.0041	185.978
8.41001	6.22814	5.88765	0	68.1494	197.369	24.1644	187.71
8.42724	5.32889	5.90938	0.0666112	66.1843	196.736	23.7578	184.58
8.46179	5.16236	5.91428	0.0333056	61.5246	196.436	22.3255	185.379
8.49351	5.79517	5.92796	0	58.9605	197.569	21.4689	182.548
8.50764	5.76187	5.95264	0.0666112	56.9699	198.068	20.9602	182.015
8.53582	6.5612	5.9489	0.0333056	54.0558	196.936	20.2575	181.549
8.55276	6.12823	5.95839	0	51.8519	194.471	19.5266	179.684
8.54599	5.32889	5.97612	0.0333056	50.0667	196.603	18.8343	179.117
8.56233	5.49542	5.97941	0.0999167	47.9421	194.671	18.3306	179.051
8.56731	6.36137	5.98558	0.0333056	45.94	195.77	17.8302	177.386
8.55444	5.92839	5.99828	0.0333056	44.2143	194.371	17.2927	178.585
8.55067	6.79434	5.99755	0.0999167	42.6472	194.271	16.8348	174.355
8.54759	5.995	6.00388	0.0666112	41.0395	192.406	16.2998	174.721
8.53372	5.82848	6.01567	0.0333056	39.4597	194.571	15.8327	172.157
8.52528	6.06162	6.00895	0.0333056	37.9783	195.371	15.5313	172.756
8.5026	4.46295	6.0105	0	36.6193	193.172	15.136	169.892
8.48008	5.42881	6.02212	0.0333056	35.5124	191.407	14.712	169.392
8.46364	5.42881	6.01823	0	34.3978	190.908	14.4462	168.826
8.43111	5.16236	6.01682	0.0666112	33.2285	192.107	14.1385	168.893
8.39658	4.99584	6.01742	0.0666112	32.2234	191.507	13.7822	166.595
8.37232	5.06245	6.01304	0	31.2478	191.873	13.5503	165.928
8.33885	4.66278	6.01065	0.0999167	30.307	189.675	13.2859	165.296
8.29826	4.36303	6.00595	0	29.403	188.876	12.9608	163.131
8.25715	4.46295	5.99924	0.0333056	28.4996	188.343	12.7244	162.731
8.21218	4.49625	5.9992	0.0999167	27.6048	189.709	12.539	161.432
8.16771	4.49625	5.99105	0	26.7965	187.544	12.3529	157.269
8.12671	4.02998	5.98183	0	26.1228	186.078	12.1473	157.569
8.07641	3.99667	5.97795	0.0666112	25.4412	185.146	11.918	157.802
8.02597	3.23064	5.97153	0.0333056	24.7984	187.277	11.7278	154.671
7.98511	3.29725	5.96515	0.0333056	24.1236	187.177	11.5697	154.804
7.94613	3.33056	5.95914	0.0333056	23.5503	187.244	11.3436	151.54
7.89488	3.29725	5.94652	0.0333056	22.9624	186.411	11.1291	153.772
7.83983	3.46378	5.93709	0	22.3582	185.212	10.9473	150.441
7.79422	2.89759	5.93154	0.0333056	21.9103	184.813	10.8263	148.976
7.75453	2.66445	5.9186	0	21.3167	183.381	10.7497	146.678
7.6999	2.79767	5.90756	0	20.7692	181.848	10.6105	144.979
7.65109	3.06411	5.90024	0.0333056	20.4219	181.915	10.4328	144.18
7.61188	2.69775	5.88933	0.0333056	19.9483	182.481	10.2701	143.514
7.55982	1.69858	5.87842	0	19.4772	181.649	10.1125	141.116
7.5126	1.93172	5.86665	0	19.0287	179.484	10.044	140.283
7.47162	2.19817	5.85658	0	18.599	182.914	9.98624	138.185
7.42138	2.03164	5.84532	0	18.2688	179.484	9.81748	139.217
7.37969	1.7652	5.83663	0.0333056	17.907	177.419	9.67306	139.917
7.34096	1.7652	5.82839	0	17.5846	178.684	9.6282	136.353
7.29679	1.93172	5.81457	0.0333056	17.2399	175.987	9.56394	134.921
7.24602	1.59867	5.80297	0	16.8936	177.685	9.44422	132.256
7.20409	1.39883	5.79633	0	16.6209	178.152	9.31691	131.69
7.16799	1.56536	5.78869	0	16.2556	174.688	9.22057	130.691
7.13262	1.49875	5.77451	0	15.9027	173.222	9.14281	127.627
7.09482	1.199	5.76297	0	15.6472	172.956	9.05141	127.361
7.05477	1.199	5.75572	0	15.3665	174.621	8.94679	124.863
7.01683	1.43214	5.74648	0	15.1259	171.857	8.86639	124.996
6.9769	0.999167	5.74066	0	14.9096	172.456	8.7943	122.032
6.94298	1.09908	5.7311	0	14.6299	169.792	8.72142	121.865
6.9119	0.932556	5.71984	0	14.3526	172.057	8.68972	122.331
6.87207	0.932556	5.71016	0	14.1799	173.256	8.64389	119.8
6.8394	0.799334	5.69833	0	13.9034	169.026	8.55518	117.635
6.80413	0.965862	5.69057	0.0333056	13.633	169.259	8.46587	117.735
6.76954	0.499584	5.68414	0	13.4983	168.826	8.3776	117.569
6.74345	0.699417	5.67773	0	13.274	167.527	8.30711	111.607
6.71297	0.466278	5.67341	0	13.0591	167.361	8.30194	114.105
6.67641	0.732723	5.66159	0	12.9025	168.46	8.25264	109.808
6.64245	0.499584	5.65318	0	12.7467	167.527	8.19068	108.743
6.61226	0.566195	5.64508	0	12.6074	165.695	8.14792	109.342
6.58797	0.466278	5.63645	0	12.4505	164.629	8.0567	107.311
6.56117	0.5995	5.62876	0	12.2644	162.798	7.99407	107.577
