ol2591918.381134
CCNY     19/09/2025 18:37:11 19/09/2025 18:38:11 0080 -073.950000 0040.821000 00.0 00.0 "Lamp to Acq 175.538us, far acq to gate is 5.0 us;  near range use Gated detectors, 0.26 us, no NDF, Lab-lidar, new flash-lamps day2"
0001201 0020 0000000 0020 08 0000000 0020 0000000 0000
1 0 1 08000 1 0770 3.75 00287.o 0 0 01 000 16 001201 0.500 BT0
1 1 1 08000 1 0770 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC0
1 0 1 08000 1 0810 3.75 00299.o 0 0 01 000 16 001201 0.500 BT1
1 1 1 08000 1 0810 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC1
1 0 1 08000 1 0780 3.75 00287.o 0 0 01 000 16 001201 0.500 BT2 "Near Range"
1 1 1 08000 1 0780 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC2 "Near Range"
1 0 1 08000 1 0805 3.75 00299.o 0 0 01 000 16 001201 0.500 BT3 "Near Range"
1 1 1 08000 1 0805 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC3 "Near Range"
287.000 .o Analog 0 	287.000 .o Photon Counting 0 	299.000 .o Analog 1 	299.000 .o Photon Counting 1 	287.000 .o Analog 2 	287.000 .o Photon Counting 2 	299.000 .o Analog 3 	299.000 .o Photon Counting 3 
6.93436	2.93089	5.56464	0	5.26605	0	5.8058	0
7.03478	2.9642	5.57886	0	5.25868	0	5.80827	0
7.17372	2.23147	5.60969	0	5.24805	0	5.80425	0
7.32766	2.66445	5.64485	0.0333056	5.21629	0	5.79669	0
7.42789	2.73106	5.66053	0	5.19009	0	5.7933	0
7.51211	2.69775	5.67657	0	5.1998	0	5.78347	0
7.61113	3.06411	5.68869	0	5.18369	0	5.78462	0
7.69045	2.89759	5.70499	0.0333056	5.15852	0	5.78137	0
7.76978	3.76353	5.73751	0	5.16027	0	5.77884	0
7.86152	3.46378	5.75402	0	5.1598	0.199833	5.78196	0.0666112
7.92832	5.09575	5.75972	0.0666112	5.14486	55.2206	5.75238	67.6769
7.9737	5.3955	5.78148	0	7.40656	188.51	5.82277	191.274
8.04752	4.09659	5.79852	0	32.4173	198.035	11.4103	189.609
8.11203	4.32973	5.80459	0	83.3258	196.936	26.7957	189.442
8.15636	3.43047	5.83052	0	97.0561	200.433	33.5108	189.309
8.22561	4.26311	5.84607	0.0333056	78.1682	199.734	27.6111	186.844
8.27897	4.39634	5.85042	0	76.8781	198.068	26.337	187.644
8.30782	5.02914	5.87166	0.133222	77.1978	197.769	27.2529	187.577
8.35444	4.49625	5.88119	0	69.4744	198.535	24.9104	186.811
8.39367	4.7627	5.88994	0.0333056	67.1614	197.102	23.8489	184.28
8.41902	4.56286	5.91093	0.0666112	65.1917	199.334	23.569	184.246
8.44904	5.09575	5.91434	0.0666112	60.8406	198.335	22.2679	182.781
8.48114	4.56286	5.92952	0	58.3634	197.369	21.3585	183.514
8.48717	5.06245	5.95599	0	56.0427	197.469	20.7997	183.547
8.50847	4.22981	5.95381	0.0333056	53.2422	197.735	20.0852	183.747
8.53007	4.56286	5.96523	0.0666112	51.0975	195.037	19.5108	182.148
8.52365	4.66278	5.97674	0.0999167	49.0298	194.871	18.8679	180.816
8.53533	4.96253	5.97821	0.0333056	47.0348	197.402	18.2456	177.852
8.54871	4.56286	5.99166	0.0333056	45.3051	195.937	17.7921	179.051
8.53572	4.46295	6.00184	0.0333056	43.5989	193.938	17.2682	176.719
8.52056	4.7627	6.00153	0	41.8212	194.105	16.6911	174.821
8.52002	4.72939	6.00901	0.0333056	40.2259	193.239	16.2125	175.787
8.51684	4.69609	6.01817	0.0666112	38.9055	194.738	15.8289	173.022
8.50452	4.66278	6.01698	0.0333056	37.5996	192.639	15.5123	170.158
8.48997	4.29642	6.01805	0	36.1882	194.638	15.1839	171.024
8.47198	3.93006	6.02625	0.0333056	34.9746	193.805	14.7574	170.458
