ol2591916.395426
CCNY     19/09/2025 16:38:54 19/09/2025 16:39:54 0080 -073.950000 0040.821000 00.0 00.0 "Lamp to Acq 175.538us, far acq to gate is 5.0 us;  near range use Gated detectors, 0.26 us, no NDF, Lab-lidar, new flash-lamps day2"
0001201 0020 0000000 0020 08 0000000 0020 0000000 0000
1 0 1 08000 1 0770 3.75 00287.o 0 0 01 000 16 001201 0.500 BT0
1 1 1 08000 1 0770 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC0
1 0 1 08000 1 0810 3.75 00299.o 0 0 01 000 16 001201 0.500 BT1
1 1 1 08000 1 0810 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC1
1 0 1 08000 1 0780 3.75 00287.o 0 0 01 000 16 001201 0.500 BT2 "Near Range"
1 1 1 08000 1 0780 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC2 "Near Range"
1 0 1 08000 1 0805 3.75 00299.o 0 0 01 000 16 001201 0.500 BT3 "Near Range"
1 1 1 08000 1 0805 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC3 "Near Range"
287.000 .o Analog 0 	287.000 .o Photon Counting 0 	299.000 .o Analog 1 	299.000 .o Photon Counting 1 	287.000 .o Analog 2 	287.000 .o Photon Counting 2 	299.000 .o Analog 3 	299.000 .o Photon Counting 3 
7.12464	3.5637	5.60613	0	5.31946	0	5.82675	0
7.22991	3.66361	5.6141	0.0333056	5.30611	0	5.83113	0
7.37043	2.79767	5.64234	0	5.29409	0	5.82412	0.0333056
7.53408	3.13072	5.68108	0.0666112	5.26317	0	5.81441	0
7.63223	3.53039	5.69609	0	5.23412	0	5.81299	0
7.71645	4.49625	5.71055	0	5.24162	0	5.80366	0
7.82693	4.69609	5.72582	0	5.22918	0	5.80445	0
7.90239	4.12989	5.7395	0	5.20293	0	5.80102	0
7.98845	4.1632	5.76673	0	5.19948	0	5.79568	0
8.10881	5.46211	5.78866	0.0333056	5.19819	0.233139	5.80126	0.166528
8.17852	6.92756	5.79838	0	5.18802	54.7211	5.77182	67.3772
8.22423	5.86178	5.81688	0.0666112	7.76793	187.577	5.88386	187.444
8.31748	5.62864	5.83548	0	35.1898	198.468	11.8059	191.074
8.39606	5.46211	5.8433	0.0333056	90.149	197.769	27.9711	191.973
8.45199	5.69525	5.86731	0	104.698	197.902	35.1597	190.275
8.53104	5.9617	5.88526	0	84.3859	198.934	29.0198	188.609
8.5758	6.46128	5.8932	0.0333056	83.1563	197.802	27.4389	189.376
8.5997	6.5945	5.91314	0.0333056	83.3197	195.837	28.3437	188.443
8.66735	6.86095	5.92093	0.0333056	74.7108	199.833	25.9781	188.443
8.72861	6.49459	5.92629	0	72.3174	198.535	24.8852	186.311
8.76109	6.49459	5.94918	0	70.242	196.769	24.6363	186.411
8.80905	6.5945	5.95925	0.0333056	65.3727	198.102	23.2924	185.445
8.86079	6.82764	5.97142	0.0666112	62.7859	198.868	22.2474	184.913
8.87098	7.39384	5.993	0	60.5645	196.336	21.631	182.881
8.88869	6.5945	5.99366	0.0666112	57.5484	197.569	20.9035	182.681
8.91629	6.96087	6.01017	0.0999167	54.9501	196.436	20.2175	182.215
8.92803	7.39384	6.02868	0	52.5979	196.769	19.5909	180.416
8.95805	7.42714	6.03203	0.0666112	50.5851	195.371	19.0264	178.618
8.9653	6.92756	6.03911	0.0666112	48.8167	194.938	18.4921	179.251
8.96711	7.39384	6.05255	0	46.8864	194.738	17.9764	178.585
8.98617	6.5945	6.05318	0.0666112	45.0143	195.837	17.4686	176.619
8.97836	6.42798	6.06087	0.0666112	43.2984	195.637	16.915	174.888
8.96616	7.66028	6.07171	0	41.6559	194.438	16.4629	176.553
8.96677	6.42798	6.07703	0.0666112	40.2396	194.205	16.0662	174.721
8.93716	6.12823	6.08561	0.0999167	38.8927	194.471	15.6705	172.656
8.91019	5.89509	6.09093	0.0333056	37.5138	194.538	15.3281	173.056
8.91058	5.89509	6.09341	0.0333056	36.3106	191.973	14.9496	169.425
8.87689	6.29475	6.09721	0.0333056	35.1015	190.142	14.5949	168.893
8.82114	5.79517	6.09265	0.0333056	33.9244	192.573	14.2506	166.694
8.7997	6.09492	6.08785	0.0666112	33.026	189.842	13.9298	166.894
8.76814	5.29559	6.08965	0.0666112	32.0581	191.64	13.6631	165.229
8.71796	5.09575	6.08776	0.0666112	30.8874	191.241	13.4096	164.296
8.67411	5.3622	6.07791	0	29.9461	189.276	13.1757	161.599
8.63074	4.7627	6.07208	0.0999167	29.1733	186.744	12.9221	163.83
8.58398	5.19567	6.07249	0	28.2775	190.375	12.7093	159.967
8.53993	5.19567	6.06597	0	27.5049	187.977	12.5033	159.4
8.49097	4.32973	6.05485	0	26.837	187.977	12.2821	158.401
8.43348	4.29642	6.04703	0.0666112	26.0473	189.742	12.0696	156.736
8.37779	4.86261	6.04227	0.0333056	25.425	185.246	11.8507	155.171
8.32227	3.33056	6.03685	0.0333056	24.8691	185.579	11.604	153.472
8.2689	3.46378	6.027	0.0333056	24.1706	184.613	11.3856	153.805
8.22179	3.93006	6.01529	0.0333056	23.4648	185.246	11.2844	151.54
8.16786	3.46378	6.00333	0.0333056	22.8885	184.879	11.1907	150.908
8.11845	3.43047	5.99833	0	22.3744	184.646	11.0046	149.209
8.06112	3.23064	5.99014	0.0333056	21.871	183.247	10.7907	146.678
7.99936	2.86428	5.97221	0.0666112	21.4365	183.48	10.6456	146.511
7.95172	2.9642	5.95634	0	20.9279	180.916	10.557	147.311
