ol2591918.541366
CCNY     19/09/2025 18:53:14 19/09/2025 18:54:13 0080 -073.950000 0040.821000 00.0 00.0 "Lamp to Acq 175.538us, far acq to gate is 5.0 us;  near range use Gated detectors, 0.26 us, no NDF, Lab-lidar, new flash-lamps day2"
0001201 0020 0000000 0020 08 0000000 0020 0000000 0000
1 0 1 08000 1 0770 3.75 00287.o 0 0 01 000 16 001201 0.500 BT0
1 1 1 08000 1 0770 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC0
1 0 1 08000 1 0810 3.75 00299.o 0 0 01 000 16 001201 0.500 BT1
1 1 1 08000 1 0810 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC1
1 0 1 08000 1 0780 3.75 00287.o 0 0 01 000 16 001201 0.500 BT2 "Near Range"
1 1 1 08000 1 0780 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC2 "Near Range"
1 0 1 08000 1 0805 3.75 00299.o 0 0 01 000 16 001201 0.500 BT3 "Near Range"
1 1 1 08000 1 0805 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC3 "Near Range"
287.000 .o Analog 0 	287.000 .o Photon Counting 0 	299.000 .o Analog 1 	299.000 .o Photon Counting 1 	287.000 .o Analog 2 	287.000 .o Photon Counting 2 	299.000 .o Analog 3 	299.000 .o Photon Counting 3 
6.86871	5.32889	5.55369	0	5.2588	0	5.80552	0
6.96672	5.79517	5.56811	0	5.24675	0	5.80906	0
7.10842	4.7627	5.59744	0	5.23464	0	5.80427	0
7.25965	4.39634	5.63251	0	5.20738	0	5.79445	0
7.35243	4.66278	5.65045	0	5.1826	0	5.79142	0
7.43809	6.16153	5.66655	0	5.19027	0	5.78251	0
7.5365	5.79517	5.67609	0	5.17349	0	5.78204	0
7.61589	5.92839	5.6899	0.0666112	5.1479	0	5.77771	0
7.70156	6.12823	5.72063	0	5.14777	0	5.77599	0
7.79522	6.96087	5.74191	0.0333056	5.14712	0.133222	5.78065	0.0666112
7.86107	8.52623	5.75027	0.0333056	5.13396	55.2873	5.75065	67.9767
7.9063	7.46045	5.76923	0.0333056	7.47517	186.511	5.81771	188.843
7.98457	6.86095	5.781	0	32.6288	199.001	11.312	190.508
8.05539	7.59367	5.79017	0	83.1705	196.17	26.5498	188.976
8.10662	7.72689	5.81868	0.0333056	96.6037	199.267	33.3802	191.84
8.17768	8.19317	5.83079	0	77.8701	198.968	27.7524	186.811
8.22326	7.69359	5.83779	0.0666112	76.5318	195.97	26.3694	189.842
8.24794	7.66028	5.86125	0.0333056	76.8689	197.669	27.1059	184.813
8.30758	8.02664	5.86972	0.0333056	69.1428	198.235	24.8644	185.445
8.35072	7.82681	5.87848	0	66.8945	198.102	23.9159	184.58
8.36658	9.05912	5.89758	0	65.0256	201.066	23.5695	185.146
8.40074	8.25978	5.9042	0.0333056	60.4522	197.302	22.311	186.511
8.43952	7.86012	5.91788	0	57.9383	195.604	21.4676	182.548
8.44973	8.32639	5.93589	0	55.9197	197.469	20.8355	182.548
8.46532	8.49292	5.93409	0.0333056	53.0447	197.702	20.0015	179.85
8.48313	8.42631	5.94798	0	50.7337	196.07	19.3081	179.45
8.4926	7.79351	5.96451	0	48.758	195.371	18.7943	178.085
8.50754	8.25978	5.96491	0.0333056	46.8211	196.003	18.3367	177.719
8.51051	8.72606	5.97395	0.0333056	45.1217	193.405	17.7721	177.452
8.51148	7.79351	5.98895	0.0999167	43.3552	193.739	17.1632	175.42
8.51152	8.15987	5.98926	0.0333056	41.5865	194.271	16.6722	175.72
8.50914	7.72689	5.99283	0.0333056	40.0628	192.939	16.3108	175.387
8.49152	8.09326	6.00223	0	38.7513	192.007	15.8157	175.054
8.47775	8.15987	6.00265	0.0999167	37.3467	193.405	15.3119	170.758
8.46719	6.82764	6.00711	0.0333056	36.0341	190.075	15.049	171.99
8.44856	7.96003	6.01434	0.0333056	34.8694	192.306	14.8033	168.226
8.42854	7.59367	6.01256	0	33.6386	190.208	14.4687	165.928
8.4034	7.69359	6.01063	0.0999167	32.5089	188.843	14.1357	165.296
8.36626	7.06078	6.01294	0	31.5129	190.475	13.8096	164.063
8.33902	6.29475	6.01245	0	30.6282	192.273	13.5059	166.128
8.3101	7.02748	6.00594	0.0999167	29.701	187.843	13.1821	161.532
8.26711	6.82764	6.00718	0.0666112	28.8028	187.91	12.9399	164.33
8.22917	7.09409	6.00588	0.0333056	27.9583	188.843	12.7641	161.099
8.18755	6.82764	5.99915	0.0999167	27.0312	187.277	12.5061	160.833
8.14373	5.66195	5.99601	0	26.3944	189.575	12.2598	157.002
8.10666	5.62864	5.98885	0	25.8024	187.311	12.0625	158.901
8.05969	6.19484	5.9748	0	24.972	185.779	11.8737	154.471
8.01539	5.42881	5.96491	0.0333056	24.3744	185.745	11.674	155.57
7.97433	5.29559	5.96019	0.0333056	23.8247	184.58	11.4931	155.704
7.92653	5.52873	5.95644	0.0333056	23.0977	185.312	11.3254	150.608
7.87721	5.22898	5.9462	0.0333056	22.5028	183.947	11.1371	150.841
7.82687	4.36303	5.93275	0.0666112	21.9857	184.679	10.9279	149.076
7.78165	4.59617	5.92331	0	21.3829	183.78	10.793	149.109
7.74005	3.66361	5.91838	0.0333056	20.8491	181.782	10.6747	146.978
7.69419	4.36303	5.91033	0.0666112	20.5033	180.883	10.5171	145.612
7.64539	4.56286	5.90044	0.0333056	20.0823	181.049	10.3885	145.412
7.59585	3.89675	5.88894	0	19.5405	182.048	10.269	142.015
7.55308	4.46295	5.87686	0.0333056	19.1201	181.415	10.1515	141.815
7.50708	3.69692	5.86471	0.0333056	18.806	178.651	9.99927	139.084
7.46215	3.33056	5.85661	0	18.4239	180.183	9.83434	137.119
7.41512	3.46378	5.84778	0.0333056	18.0177	178.351	9.69674	135.154
7.37396	3.26395	5.84006	0.0333056	17.6161	176.819	9.58071	136.253
7.33186	3.39717	5.83091	0	17.2214	178.118	9.52214	135.92
7.28294	2.9975	5.82259	0	16.9804	175.754	9.48898	136.353
7.23907	2.83097	5.806	0	16.6816	176.819	9.40399	130.458
7.20127	2.29808	5.79117	0	16.2587	173.988	9.30664	131.69
7.16053	2.53122	5.78462	0	15.9252	174.588	9.19792	129.525
7.12329	2.398	5.7736	0.0333056	15.6382	176.053	9.09886	127.893
7.08473	2.49792	5.76017	0	15.4495	174.321	9.03684	127.061
7.04617	2.66445	5.75397	0	15.2574	173.022	8.96165	125.129
7.01049	1.93172	5.7469	0	14.9385	172.323	8.87254	123.697
6.96912	2.09825	5.73828	0	14.6507	172.123	8.79118	124.13
6.93322	1.93172	5.72692	0	14.409	169.858	8.73503	120.533
6.90029	2.13156	5.71641	0.0333056	14.1583	169.792	8.66455	119.933
6.85946	2.06495	5.70869	0.0333056	14.0008	172.623	8.58857	117.669
6.82557	1.59867	5.70003	0	13.7502	170.158	8.48952	116.203
6.79493	1.56536	5.69121	0	13.4533	169.425	8.40019	116.769
6.76328	1.46545	5.68416	0.0333056	13.2923	169.226	8.33611	113.039
6.73383	1.59867	5.67549	0	13.0899	166.428	8.30088	113.639
6.70375	1.56536	5.66651	0	12.8891	168.226	8.28212	113.672
6.67503	1.39883	5.6575	0	12.7228	166.028	8.21111	109.509
6.64486	1.59867	5.65043	0	12.5091	163.963	8.12281	111.707
6.61329	1.13239	5.64388	0	12.3431	163.464	8.08059	107.677
6.5881	0.999167	5.63855	0	12.195	164.796	8.05786	108.709
6.56398	1.26561	5.63128	0	12.0097	161.932	7.99551	107.81
6.53124	1.13239	5.62412	0	11.8623	159.634	7.94256	104.879
6.49661	1.03247	5.61431	0	11.7613	161.998	7.90806	103.447
6.47945	1.13239	5.60639	0	11.5647	160.6	7.85213	103.947
6.46207	0.932556	5.60065	0	11.3808	160.133	7.80679	103.114
6.43456	0.799334	5.59511	0	11.3553	158.468	7.77889	102.848
6.41089	0.799334	5.58692	0	11.2268	155.87	7.7676	101.249
6.39043	0.832639	5.58038	0	10.9978	158.868	7.76072	98.5845
6.36149	0.999167	5.57625	0	10.8465	158.968	7.69455	97.4188
6.34352	0.766028	5.5712	0	10.7789	154.005	7.62957	95.9201
