ol2591920.432943
CCNY     19/09/2025 20:42:29 19/09/2025 20:43:29 0080 -073.950000 0040.821000 00.0 00.0 "Lamp to Acq 175.538us, far acq to gate is 5.0 us;  near range use Gated detectors, 0.26 us, no NDF, Lab-lidar, new flash-lamps day2"
0001201 0020 0000000 0020 08 0000000 0020 0000000 0000
1 0 1 08000 1 0770 3.75 00287.o 0 0 01 000 16 001201 0.500 BT0
1 1 1 08000 1 0770 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC0
1 0 1 08000 1 0810 3.75 00299.o 0 0 01 000 16 001201 0.500 BT1
1 1 1 08000 1 0810 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC1
1 0 1 08000 1 0780 3.75 00287.o 0 0 01 000 16 001201 0.500 BT2 "Near Range"
1 1 1 08000 1 0780 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC2 "Near Range"
1 0 1 08000 1 0805 3.75 00299.o 0 0 01 000 16 001201 0.500 BT3 "Near Range"
1 1 1 08000 1 0805 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC3 "Near Range"
287.000 .o Analog 0 	287.000 .o Photon Counting 0 	299.000 .o Analog 1 	299.000 .o Photon Counting 1 	287.000 .o Analog 2 	287.000 .o Photon Counting 2 	299.000 .o Analog 3 	299.000 .o Photon Counting 3 
6.82825	6.26145	5.51645	0	5.26002	0	5.78507	0
6.92478	7.26062	5.52864	0	5.24749	0	5.78915	0
7.06058	6.29475	5.55833	0	5.23749	0	5.78651	0
7.20967	5.46211	5.59112	0.0333056	5.20911	0	5.77778	0
7.29594	5.995	5.60508	0	5.18201	0	5.77312	0
7.37811	6.22814	5.62245	0	5.18709	0	5.76479	0
7.48617	6.96087	5.63202	0.0666112	5.1723	0	5.7641	0
7.57299	6.92756	5.64481	0	5.14657	0	5.75869	0
7.6707	7.7602	5.67483	0	5.14486	0	5.75793	0
7.7677	9.39217	5.69572	0	5.14423	0.199833	5.76217	0.0666112
7.83663	11.0575	5.70609	0	5.13138	52.9559	5.7308	68.9759
7.89938	9.69192	5.72399	0.0333056	7.48969	189.942	5.82113	189.609
7.98298	9.19234	5.73636	0.0333056	33.3284	197.868	11.4981	189.908
8.05087	9.75853	5.74849	0.0333056	86.1225	195.87	26.9885	190.042
8.11864	9.89176	5.77474	0.0333056	100.744	198.435	33.7345	190.375
8.19336	9.62531	5.78946	0	81.0716	197.535	27.8738	187.011
8.23725	9.15903	5.79876	0	79.4461	199.367	26.5774	188.476
8.28221	9.5254	5.81658	0.0333056	79.7652	198.268	27.4283	189.642
8.34956	10.6245	5.82459	0	71.7888	197.968	25.0303	187.077
8.39005	9.79184	5.83823	0	69.4249	198.068	24.0491	187.011
8.43367	10.791	5.85898	0	67.3681	196.603	23.7791	184.946
8.48809	11.0575	5.85922	0.0666112	62.7811	196.936	22.3753	183.58
8.53161	11.3572	5.87617	0.0666112	60.3621	197.635	21.505	184.513
8.5625	10.7577	5.90526	0	58.0257	196.037	20.9492	181.882
8.59681	10.8576	5.90571	0.0333056	54.8922	197.935	20.1293	182.581
8.61946	11.557	5.91444	0	52.7625	197.769	19.4727	179.584
8.63486	11.0575	5.92789	0	50.7226	195.071	18.8981	180.55
8.66305	11.0575	5.93428	0	48.5031	196.603	18.3063	176.686
8.66683	11.1574	5.95063	0	46.7135	196.137	17.7592	179.284
8.66711	10.791	5.96737	0	44.9528	194.871	17.2914	176.853
