ol2591920.533088
CCNY     19/09/2025 20:52:31 19/09/2025 20:53:30 0080 -073.950000 0040.821000 00.0 00.0 "Lamp to Acq 175.538us, far acq to gate is 5.0 us;  near range use Gated detectors, 0.26 us, no NDF, Lab-lidar, new flash-lamps day2"
0001201 0020 0000000 0020 08 0000000 0020 0000000 0000
1 0 1 08000 1 0770 3.75 00287.o 0 0 01 000 16 001201 0.500 BT0
1 1 1 08000 1 0770 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC0
1 0 1 08000 1 0810 3.75 00299.o 0 0 01 000 16 001201 0.500 BT1
1 1 1 08000 1 0810 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC1
1 0 1 08000 1 0780 3.75 00287.o 0 0 01 000 16 001201 0.500 BT2 "Near Range"
1 1 1 08000 1 0780 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC2 "Near Range"
1 0 1 08000 1 0805 3.75 00299.o 0 0 01 000 16 001201 0.500 BT3 "Near Range"
1 1 1 08000 1 0805 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC3 "Near Range"
287.000 .o Analog 0 	287.000 .o Photon Counting 0 	299.000 .o Analog 1 	299.000 .o Photon Counting 1 	287.000 .o Analog 2 	287.000 .o Photon Counting 2 	299.000 .o Analog 3 	299.000 .o Photon Counting 3 
6.83406	0.766028	5.52001	0	5.24854	0	5.78919	0
6.92187	0.965862	5.53729	0.0333056	5.23787	0	5.79046	0
7.05383	0.832639	5.56625	0	5.22655	0	5.78534	0
7.21064	0.932556	5.59587	0	5.19822	0	5.77918	0
7.30083	0.632806	5.61157	0	5.17197	0	5.77637	0
7.37628	0.932556	5.6281	0.0333056	5.17691	0	5.76653	0
7.48709	1.1657	5.6391	0	5.1637	0	5.76593	0
7.57175	1.199	5.65888	0	5.13938	0	5.76176	0
7.65593	1.199	5.6899	0	5.13744	0	5.75844	0
7.75312	1.49875	5.70378	0	5.13629	0.29975	5.76181	0.166528
7.82288	1.99833	5.71448	0.0333056	5.12464	55.6536	5.73477	67.8768
7.87251	1.53206	5.73235	0	7.46442	189.975	5.83241	188.643
7.95345	1.66528	5.7424	0	32.9427	198.768	11.3977	192.073
8.02197	1.56536	5.75353	0	84.2139	198.801	26.5487	186.278
8.07629	1.36553	5.78037	0	97.8445	195.903	33.2305	190.974
8.14582	1.63197	5.79197	0	78.9082	197.336	27.6019	188.843
8.18683	1.89842	5.80165	0	77.3473	197.535	26.3516	185.679
8.22337	1.63197	5.8266	0.0333056	77.2762	200.4	27.142	187.677
8.29254	2.16486	5.829	0	69.5489	199.4	24.7309	188.376
8.34074	1.86511	5.84126	0	67.4858	198.068	23.739	184.08
8.36575	2.46461	5.86673	0.0999167	65.4881	198.868	23.4859	184.979
8.40634	2.16486	5.86705	0	61.0845	197.635	22.1135	181.082
8.44774	2.26478	5.88255	0	58.6768	198.002	21.243	181.982
8.45772	1.63197	5.90845	0	56.4546	197.469	20.7478	184.047
8.48491	2.46461	5.90387	0.0666112	53.6164	197.269	19.9262	181.848
8.51452	1.96503	5.9118	0	51.4513	197.702	19.3054	179.983
8.5278	2.33139	5.9304	0.0666112	49.512	196.636	18.7459	179.55
8.55402	2.398	5.93699	0.0333056	47.4111	195.371	18.0184	177.585
8.55043	2.59784	5.94613	0.0333056	45.6142	193.705	17.5166	178.052
8.53998	1.83181	5.96465	0.0333056	43.8721	194.271	17.154	176.586
8.55358	2.09825	5.97055	0.0666112	42.1102	194.305	16.7178	176.486
8.55815	2.03164	5.96952	0	40.6394	192.806	16.2475	173.922
8.54575	2.33139	5.97864	0.0666112	39.216	195.67	15.8663	175.254
8.54464	2.59784	5.97744	0	37.8286	194.038	15.5018	172.923
8.53272	1.89842	5.97865	0	36.514	192.506	15.0254	170.458
8.50637	1.7985	5.99046	0	35.2575	190.674	14.6948	169.259
8.48741	1.53206	5.98779	0	34.1392	192.939	14.4725	167.727
8.46237	2.23147	5.98786	0	33.0068	192.206	14.086	165.495
8.43403	2.19817	5.99198	0.0666112	31.9932	192.54	13.7269	166.794
8.40754	2.03164	5.98996	0	31.1532	189.742	13.4118	162.565
8.37482	1.56536	5.98558	0.0333056	30.241	192.573	13.1073	164.729
8.33959	1.7652	5.98582	0.0666112	29.2022	190.008	12.8822	163.564
8.30038	1.7985	5.98476	0	28.3091	187.777	12.6471	163.297
8.25988	1.7652	5.98067	0.0333056	27.5576	186.744	12.439	161.732
8.22612	1.09908	5.97421	0.0666112	26.8318	188.543	12.2405	158.634
8.19329	0.999167	5.96525	0	26.1209	188.51	12.0447	156.07
8.14301	0.932556	5.96372	0	25.4489	186.411	11.8273	155.404
8.08787	1.09908	5.96015	0.0666112	24.7913	187.943	11.619	155.371
8.03983	0.999167	5.94952	0.0333056	24.0405	188.11	11.4189	151.574
7.9953	1.199	5.94347	0	23.3467	183.813	11.1822	152.24
7.95407	1.06578	5.93387	0	22.8212	183.181	11.0219	150.841
7.90548	0.799334	5.92216	0	22.2997	185.179	10.9319	150.974
7.85472	0.999167	5.91335	0	21.7246	181.216	10.8006	147.377
7.80491	0.832639	5.90724	0	21.3082	183.047	10.6668	144.679
7.76069	0.5995	5.89881	0	20.9431	182.315	10.5299	148.343
7.71239	0.766028	5.8844	0	20.3912	180.783	10.3548	144.846
7.65577	0.499584	5.87556	0	19.7928	182.182	10.2462	145.645
7.61632	0.366361	5.86781	0	19.3699	181.515	10.1889	142.281
7.57501	0.432973	5.85331	0.0333056	19.0477	178.551	10.0507	140.749
7.51992	0.366361	5.83965	0.0333056	18.606	180.816	9.82447	138.551
7.47652	0.399667	5.8268	0	18.2058	181.549	9.72995	137.086
7.43778	0.233139	5.81937	0	17.9521	178.218	9.69464	136.753
7.38524	0.399667	5.8147	0	17.5553	178.684	9.5408	134.854
7.33819	0.199833	5.802	0	17.1129	176.753	9.42891	132.956
7.29724	0.166528	5.78791	0.0333056	16.8126	174.788	9.32582	131.624
7.2491	0.366361	5.78225	0	16.5533	176.719	9.19113	131.524
7.21043	0.29975	5.77186	0	16.1947	175.021	9.17216	131.257
7.17803	0.266445	5.75691	0	15.9188	175.187	9.13652	126.828
7.13143	0.199833	5.75258	0	15.7252	177.818	9.02051	127.827
7.09306	0.166528	5.74438	0	15.3934	172.59	8.90539	127.127
7.05042	0.133222	5.73307	0	15.061	174.122	8.8064	123.863
7.0054	0.0666112	5.72645	0	14.8747	170.158	8.74687	123.197
6.97784	0.199833	5.71422	0	14.6701	170.958	8.67598	120.933
6.94772	0.0999167	5.70001	0	14.3424	171.257	8.59679	119.567
6.90752	0.199833	5.69219	0	14.1206	169.292	8.55257	118.701
6.86979	0.0666112	5.68651	0	13.9631	169.592	8.49424	118.435
6.83713	0.0333056	5.67788	0	13.6657	168.16	8.45497	116.936
6.80397	0	5.6704	0	13.3832	168.793	8.38213	117.902
6.76634	0.0999167	5.66199	0	13.2647	168.726	8.27181	115.537
6.73866	0.0999167	5.65246	0	13.1371	169.126	8.2475	113.938
6.71434	0.0999167	5.64337	0	12.9016	166.994	8.24323	113.272
6.67731	0.0333056	5.63535	0	12.7115	166.794	8.17284	110.208
6.64566	0	5.62731	0	12.5675	165.695	8.09643	109.975
6.62148	0.0333056	5.62126	0	12.3847	165.828	8.05136	110.241
6.59289	0	5.61719	0.0333056	12.2204	163.83	8.02092	106.012
6.56193	0.0333056	5.60977	0	12.0684	163.497	7.99482	107.277
6.53244	0.133222	5.60326	0	11.8882	163.43	7.92649	104.48
6.50798	0	5.59582	0	11.7224	160.933	7.85852	104.413
6.48578	0	5.58406	0	11.6371	161.332	7.80984	103.114
6.4631	0.0666112	5.57875	0	11.502	159.534	7.78323	100.516
6.4402	0	5.57569	0	11.3552	160.466	7.74371	98.5179
6.41429	0.0666112	5.56732	0	11.2229	160.3	7.68117	100.15
6.38711	0	5.56249	0	11.0688	159.267	7.64967	96.8859
6.36595	0.0333056	5.55818	0	10.9595	155.304	7.63168	97.8518
6.34254	0.0333056	5.55296	0	10.8753	158.934	7.57251	97.3855
6.32223	0	5.5488	0	10.7435	155.237	7.52343	94.7211
6.30089	0.0333056	5.54329	0	10.6425	155.704	7.51352	93.5887
6.28042	0	5.53536	0	10.5011	155.803	7.47526	90.0916
6.26211	0	5.5313	0	10.3611	154.538	7.42714	90.358
6.24089	0	5.52768	0	10.2936	152.406	7.38688	92.1565
6.21956	0.0333056	5.51924	0	10.1898	152.773	7.36214	89.6919
6.19987	0	5.51407	0	10.0616	153.206	7.37943	88.6928
6.18429	0.0333056	5.51248	0	9.95565	151.674	7.33106	88.3597
