ol2591919.151670
CCNY     19/09/2025 19:14:17 19/09/2025 19:15:16 0080 -073.950000 0040.821000 00.0 00.0 "Lamp to Acq 175.538us, far acq to gate is 5.0 us;  near range use Gated detectors, 0.26 us, no NDF, Lab-lidar, new flash-lamps day2"
0001201 0020 0000000 0020 08 0000000 0020 0000000 0000
1 0 1 08000 1 0770 3.75 00287.o 0 0 01 000 16 001201 0.500 BT0
1 1 1 08000 1 0770 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC0
1 0 1 08000 1 0810 3.75 00299.o 0 0 01 000 16 001201 0.500 BT1
1 1 1 08000 1 0810 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC1
1 0 1 08000 1 0780 3.75 00287.o 0 0 01 000 16 001201 0.500 BT2 "Near Range"
1 1 1 08000 1 0780 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC2 "Near Range"
1 0 1 08000 1 0805 3.75 00299.o 0 0 01 000 16 001201 0.500 BT3 "Near Range"
1 1 1 08000 1 0805 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC3 "Near Range"
287.000 .o Analog 0 	287.000 .o Photon Counting 0 	299.000 .o Analog 1 	299.000 .o Photon Counting 1 	287.000 .o Analog 2 	287.000 .o Photon Counting 2 	299.000 .o Analog 3 	299.000 .o Photon Counting 3 
6.93798	1.29892	5.54937	0	5.27117	0	5.79932	0
7.03767	1.36553	5.55954	0.0333056	5.25915	0	5.80226	0
7.17262	1.06578	5.5941	0.0333056	5.24871	0	5.79629	0
7.3234	1.199	5.62828	0	5.21735	0	5.78926	0
7.42391	1.09908	5.64084	0	5.18962	0	5.78774	0
7.50905	0.932556	5.66117	0	5.19861	0	5.77768	0
7.6195	1.59867	5.67566	0	5.18252	0	5.77819	0
7.71117	1.36553	5.68824	0	5.15587	0	5.77499	0
7.79275	1.63197	5.71566	0	5.15569	0	5.77111	0
7.89823	2.3647	5.73705	0	5.15454	0.233139	5.77304	0.0999167
7.97073	2.89759	5.74792	0	5.14224	54.5545	5.74465	69.0758
8.01674	2.23147	5.76439	0	7.6696	187.71	5.81025	190.308
8.09421	2.56453	5.77539	0	34.3055	199.034	11.4145	190.008
8.16731	2.3647	5.7914	0	87.2981	196.836	27.0275	189.609
8.22891	2.49792	5.82031	0	101.004	198.102	34.0114	190.375
8.30249	2.49792	5.83017	0	81.4669	197.469	28.1157	189.042
8.34634	2.9975	5.83823	0.0666112	80.3895	199.4	26.6008	189.709
8.37628	2.69775	5.86028	0	80.5208	196.703	27.4856	188.643
8.4498	3.19734	5.86484	0.0999167	72.2709	199.001	25.3147	188.643
8.51142	3.09742	5.88043	0	70.0202	197.902	24.3552	186.545
8.53168	2.9975	5.90626	0	68.0541	197.935	23.9758	185.012
8.56787	3.13072	5.90215	0	63.303	197.402	22.5634	186.944
8.61881	3.09742	5.91677	0.0999167	60.6469	198.601	21.7094	183.947
8.62485	2.76436	5.94815	0	58.2278	197.769	21.1792	184.946
8.64557	3.83014	5.93873	0.0333056	55.1965	197.802	20.3183	182.082
8.68445	3.66361	5.94762	0.0666112	53.2588	196.869	19.6377	183.88
8.69156	3.23064	5.97288	0	51.2895	195.704	19.1302	179.117
8.70544	3.13072	5.97915	0.0333056	48.8723	197.435	18.5078	178.784
8.71767	3.26395	5.98597	0.0333056	47.019	196.003	17.8951	178.318
8.71932	3.46378	5.99788	0.0333056	45.351	195.137	17.4334	178.418
8.72667	3.79684	5.99917	0.0333056	43.5839	193.206	16.8932	174.455
8.7272	2.89759	6.00589	0	42.0412	194.371	16.4101	174.854
8.71556	2.83097	6.01801	0	40.5607	194.538	16.0552	171.857
8.70818	3.63031	6.01676	0.0333056	39.1121	194.904	15.5914	174.488
8.68417	2.73106	6.02233	0.0333056	37.8293	194.105	15.1545	172.556
8.65876	2.9642	6.03097	0.0666112	36.6296	191.074	14.8875	171.024
8.64662	2.86428	6.02654	0	35.4091	191.474	14.5769	168.326
8.62691	2.83097	6.03202	0.0333056	34.1044	193.439	14.2296	168.326
8.59025	2.79767	6.03472	0	32.9637	192.44	13.9659	166.261
8.56127	2.69775	6.02884	0.0333056	31.9792	189.942	13.6308	164.463
8.52263	2.53122	6.02761	0	30.957	190.808	13.3015	164.296
8.48342	2.09825	6.02763	0.0333056	30.0196	189.908	13.0526	162.898
8.45067	2.73106	6.01949	0	29.2108	189.475	12.8586	164.496
8.40489	2.13156	6.01376	0.0666112	28.3838	190.241	12.6395	162.032
8.35057	2.26478	6.01336	0.0333056	27.5296	187.211	12.3685	160.067
8.31317	1.96503	6.00915	0	26.7908	187.51	12.1606	158.768
8.26653	1.96503	6.00101	0.0333056	26.1076	186.411	11.9501	156.103
8.21521	1.7985	5.99501	0	25.3932	189.142	11.7785	156.037
8.16565	1.7985	5.98342	0.0666112	24.7874	184.846	11.6386	153.439
8.10997	1.43214	5.96989	0	24.1774	184.979	11.4555	150.741
8.0636	1.29892	5.96285	0	23.4818	185.679	11.2408	154.838
8.02093	1.39883	5.9582	0	22.8415	182.215	10.9988	150.874
7.96244	1.199	5.94947	0	22.2588	183.614	10.8514	148.876
7.90936	1.33222	5.94104	0	21.7854	181.882	10.7887	147.577
7.86527	1.23231	5.92708	0	21.3213	183.947	10.6158	147.077
7.81389	1.06578	5.91666	0.0333056	20.7929	180.816	10.4163	146.245
7.75641	0.865945	5.90947	0	20.3373	181.415	10.3634	144.413
7.71091	1.33222	5.89768	0.0333056	19.8566	180.849	10.2415	141.116
7.66391	0.699417	5.88291	0	19.3731	178.951	10.0392	140.383
7.61396	0.732723	5.87209	0	19.0054	179.017	9.91238	140.183
7.56815	0.999167	5.86374	0	18.5903	178.751	9.83541	140.55
7.52279	1.03247	5.85476	0	18.2235	181.082	9.75561	138.485
7.47221	0.799334	5.843	0.0333056	17.9054	177.219	9.66562	136.853
7.42334	0.432973	5.82965	0	17.5423	179.717	9.56746	136.619
7.37959	0.699417	5.81528	0.0333056	17.2286	177.485	9.50396	130.558
7.32983	0.499584	5.8069	0	16.8999	175.554	9.42188	132.057
7.28397	0.5995	5.79915	0.0333056	16.5878	175.387	9.26676	130.058
7.24854	0.499584	5.78862	0	16.3112	174.721	9.14175	129.359
7.20534	0.499584	5.78195	0	15.9817	175.187	9.08657	129.026
7.16045	0.466278	5.7725	0	15.726	175.354	9.02379	125.029
7.12836	0.0999167	5.75826	0	15.4827	175.853	8.94769	125.695
7.0894	0.333056	5.74946	0	15.1866	172.856	8.86902	124.063
7.04121	0.166528	5.73894	0	14.8914	173.022	8.76668	122.664
7.00491	0.29975	5.72669	0	14.7018	167.261	8.6858	120.3
6.97324	0.366361	5.72211	0	14.4599	172.39	8.61585	121.998
6.93322	0.199833	5.71409	0	14.1034	169.192	8.5506	119.634
6.89095	0.166528	5.70565	0	13.8605	171.291	8.52294	118.301
6.85838	0.266445	5.6987	0	13.7389	170.225	8.44206	117.169
6.82931	0.366361	5.68773	0	13.6	168.526	8.33968	116.669
6.80049	0.0999167	5.67566	0	13.3968	169.792	8.3239	112.839
6.76907	0.133222	5.67044	0	13.1908	166.928	8.30015	113.505
6.7369	0.199833	5.66459	0	13.0634	166.994	8.19674	113.705
6.70588	0.0333056	5.65289	0	12.8203	165.762	8.13327	112.173
6.67699	0.133222	5.64433	0	12.538	164.829	8.12816	108.876
