ol2591920.352828
CCNY     19/09/2025 20:34:28 19/09/2025 20:35:28 0080 -073.950000 0040.821000 00.0 00.0 "Lamp to Acq 175.538us, far acq to gate is 5.0 us;  near range use Gated detectors, 0.26 us, no NDF, Lab-lidar, new flash-lamps day2"
0001201 0020 0000000 0020 08 0000000 0020 0000000 0000
1 0 1 08000 1 0770 3.75 00287.o 0 0 01 000 16 001201 0.500 BT0
1 1 1 08000 1 0770 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC0
1 0 1 08000 1 0810 3.75 00299.o 0 0 01 000 16 001201 0.500 BT1
1 1 1 08000 1 0810 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC1
1 0 1 08000 1 0780 3.75 00287.o 0 0 01 000 16 001201 0.500 BT2 "Near Range"
1 1 1 08000 1 0780 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC2 "Near Range"
1 0 1 08000 1 0805 3.75 00299.o 0 0 01 000 16 001201 0.500 BT3 "Near Range"
1 1 1 08000 1 0805 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC3 "Near Range"
287.000 .o Analog 0 	287.000 .o Photon Counting 0 	299.000 .o Analog 1 	299.000 .o Photon Counting 1 	287.000 .o Analog 2 	287.000 .o Photon Counting 2 	299.000 .o Analog 3 	299.000 .o Photon Counting 3 
6.85766	3.06411	5.52999	0	5.25582	0	5.78859	0
6.95374	3.13072	5.54179	0	5.24683	0	5.79361	0
7.08551	2.59784	5.57242	0	5.23513	0	5.78965	0
7.22567	2.09825	5.60601	0	5.20574	0	5.78074	0
7.31481	2.43131	5.61918	0	5.18024	0	5.77574	0
7.39984	2.63114	5.63706	0	5.18462	0	5.76802	0
7.50764	3.53039	5.65063	0	5.17085	0	5.76996	0
7.59403	3.36386	5.65988	0	5.14789	0	5.76492	0
7.67959	2.9975	5.69006	0	5.14429	0	5.7616	0
7.7768	5.22898	5.7121	0	5.14324	0.333056	5.76538	0.0999167
7.84451	5.22898	5.71789	0.0333056	5.13246	55.0874	5.73392	72.2065
7.90004	4.96253	5.736	0	7.55997	188.676	5.82902	188.543
7.98401	4.36303	5.75314	0	33.3657	199.001	11.6188	190.475
8.05275	5.16236	5.76482	0.0333056	85.1107	198.035	26.932	190.908
8.10946	4.86261	5.7889	0	99.0695	197.769	33.184	190.475
8.19035	4.86261	5.80086	0	79.924	197.968	27.3887	190.375
8.2433	4.796	5.81013	0	78.3317	198.535	26.1982	188.976
8.26758	5.29559	5.83068	0.0333056	78.7073	198.734	26.8856	186.978
8.32791	5.89509	5.83517	0	70.8967	197.369	24.6472	186.844
