ol2591920.082437
CCNY     19/09/2025 20:07:24 19/09/2025 20:08:24 0080 -073.950000 0040.821000 00.0 00.0 "Lamp to Acq 175.538us, far acq to gate is 5.0 us;  near range use Gated detectors, 0.26 us, no NDF, Lab-lidar, new flash-lamps day2"
0001201 0020 0000000 0020 08 0000000 0020 0000000 0000
1 0 1 08000 1 0770 3.75 00287.o 0 0 01 000 16 001201 0.500 BT0
1 1 1 08000 1 0770 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC0
1 0 1 08000 1 0810 3.75 00299.o 0 0 01 000 16 001201 0.500 BT1
1 1 1 08000 1 0810 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC1
1 0 1 08000 1 0780 3.75 00287.o 0 0 01 000 16 001201 0.500 BT2 "Near Range"
1 1 1 08000 1 0780 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC2 "Near Range"
1 0 1 08000 1 0805 3.75 00299.o 0 0 01 000 16 001201 0.500 BT3 "Near Range"
1 1 1 08000 1 0805 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC3 "Near Range"
287.000 .o Analog 0 	287.000 .o Photon Counting 0 	299.000 .o Analog 1 	299.000 .o Photon Counting 1 	287.000 .o Analog 2 	287.000 .o Photon Counting 2 	299.000 .o Analog 3 	299.000 .o Photon Counting 3 
6.85342	1.66528	5.53255	0	5.24962	0	5.79667	0
6.952	1.199	5.5473	0	5.24016	0	5.80027	0
7.0881	1.36553	5.57654	0	5.22946	0	5.79531	0
7.22862	1.13239	5.60862	0	5.19826	0	5.78758	0
7.30168	1.39883	5.62036	0	5.17074	0	5.78688	0
7.38697	1.49875	5.63568	0	5.17882	0	5.77643	0
7.49947	1.73189	5.64858	0	5.16447	0	5.77471	0
7.58392	2.23147	5.6599	0	5.13791	0	5.77179	0
7.6634	2.26478	5.68595	0	5.13619	0	5.76987	0
7.76117	2.16486	5.70452	0.0333056	5.13796	0.199833	5.77306	0.133222
7.83288	3.66361	5.71487	0	5.12556	55.6869	5.74199	69.7419
7.88844	3.23064	5.73312	0	7.48034	189.842	5.81349	188.077
7.96866	2.93089	5.74684	0.0333056	33.2162	199.434	11.3423	191.54
8.03164	2.83097	5.75799	0	84.7028	196.903	26.3043	189.575
8.09028	3.36386	5.78274	0	97.7033	200.466	32.6032	189.742
8.16851	3.26395	5.79553	0	78.2765	198.468	26.8336	186.511
8.21235	3.49709	5.80469	0.0333056	77.1646	197.669	25.7302	186.278
8.24959	3.06411	5.82567	0	77.3821	199.167	26.727	185.779
8.32068	3.19734	5.83364	0	69.4792	198.102	24.3074	187.477
