ol2591916.125035
CCNY     19/09/2025 16:11:50 19/09/2025 16:12:50 0080 -073.950000 0040.821000 00.0 00.0 "Lamp to Acq 175.538us, far acq to gate is 5.0 us;  near range use Gated detectors, 0.26 us, no NDF, Lab-lidar, new flash-lamps day2"
0001201 0020 0000000 0020 08 0000000 0020 0000000 0000
1 0 1 08000 1 0770 3.75 00287.o 0 0 01 000 16 001201 0.500 BT0
1 1 1 08000 1 0770 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC0
1 0 1 08000 1 0810 3.75 00299.o 0 0 01 000 16 001201 0.500 BT1
1 1 1 08000 1 0810 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC1
1 0 1 08000 1 0780 3.75 00287.o 0 0 01 000 16 001201 0.500 BT2 "Near Range"
1 1 1 08000 1 0780 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC2 "Near Range"
1 0 1 08000 1 0805 3.75 00299.o 0 0 01 000 16 001201 0.500 BT3 "Near Range"
1 1 1 08000 1 0805 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC3 "Near Range"
287.000 .o Analog 0 	287.000 .o Photon Counting 0 	299.000 .o Analog 1 	299.000 .o Photon Counting 1 	287.000 .o Analog 2 	287.000 .o Photon Counting 2 	299.000 .o Analog 3 	299.000 .o Photon Counting 3 
7.06293	4.46295	5.61131	0	5.32331	0	5.8301	0
7.15832	3.69692	5.62871	0	5.31344	0	5.83377	0
7.2903	3.86345	5.66042	0	5.3001	0	5.82746	0
7.44011	4.29642	5.69085	0	5.26775	0	5.81788	0
7.5297	4.46295	5.70734	0	5.24112	0	5.81451	0
7.6039	4.39634	5.72567	0	5.248	0	5.80675	0
7.71297	4.99584	5.74078	0	5.23369	0	5.80717	0
7.80622	4.66278	5.7548	0	5.20715	0	5.80172	0
7.88593	6.02831	5.78417	0	5.20465	0	5.79814	0
7.98342	5.89509	5.80254	0	5.20329	0.0999167	5.80414	0.166528
8.06773	8.02664	5.81399	0	5.19182	53.5221	5.77383	68.4763
8.1253	7.12739	5.83838	0	7.70295	187.91	5.89158	188.276
8.20667	7.52706	5.85396	0	34.5842	198.734	12.0837	192.473
8.28246	6.92756	5.86276	0.0333056	88.5077	197.835	28.9938	193.572
8.34949	6.89425	5.88856	0	102.779	198.535	36.3546	188.543
8.4371	7.32723	5.90431	0	82.865	197.669	29.9293	191.64
8.4858	8.32639	5.91026	0	81.5244	199.101	28.4395	189.509
8.52716	7.194	5.93605	0	81.8433	199.467	29.2788	190.341
8.60496	7.46045	5.94918	0.0333056	73.5904	198.834	26.8726	184.813
