ol2591916.004862
CCNY     19/09/2025 15:59:48 19/09/2025 16:00:48 0080 -073.950000 0040.821000 00.0 00.0 "Lamp to Acq 175.538us, far acq to gate is 5.0 us;  near range use Gated detectors, 0.26 us, no NDF, Lab-lidar, new flash-lamps day2"
0001201 0020 0000000 0020 08 0000000 0020 0000000 0000
1 0 1 08000 1 0770 3.75 00287.o 0 0 01 000 16 001201 0.500 BT0
1 1 1 08000 1 0770 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC0
1 0 1 08000 1 0810 3.75 00299.o 0 0 01 000 16 001201 0.500 BT1
1 1 1 08000 1 0810 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC1
1 0 1 08000 1 0780 3.75 00287.o 0 0 01 000 16 001201 0.500 BT2 "Near Range"
1 1 1 08000 1 0780 3.75 00287.o 0 0 00 000 00 001201 3.9683 BC2 "Near Range"
1 0 1 08000 1 0805 3.75 00299.o 0 0 01 000 16 001201 0.500 BT3 "Near Range"
1 1 1 08000 1 0805 3.75 00299.o 0 0 00 000 00 001201 3.9683 BC3 "Near Range"
287.000 .o Analog 0 	287.000 .o Photon Counting 0 	299.000 .o Analog 1 	299.000 .o Photon Counting 1 	287.000 .o Analog 2 	287.000 .o Photon Counting 2 	299.000 .o Analog 3 	299.000 .o Photon Counting 3 
7.15089	4.72939	5.65352	0.0333056	5.34155	0	5.84601	0
7.24195	4.29642	5.66601	0	5.33131	0	5.84928	0
7.38165	4.72939	5.69473	0	5.31715	0	5.84162	0
7.54517	4.39634	5.73763	0	5.28341	0	5.83146	0
7.63153	4.56286	5.75869	0	5.25511	0	5.82807	0
7.7036	4.1965	5.77529	0	5.26135	0	5.81986	0
7.81304	4.82931	5.79025	0	5.24543	0	5.81763	0
7.90145	5.19567	5.80802	0	5.21872	0	5.81387	0
7.98978	5.26228	5.83814	0.0666112	5.21441	0	5.80838	0
8.09561	6.49459	5.86057	0.0333056	5.21435	0.133222	5.81349	0.0999167
8.16729	7.99334	5.87798	0	5.20486	51.1241	5.78545	67.5437
8.22676	7.06078	5.89784	0.0333056	7.83673	188.077	6.04558	190.541
8.32292	6.5945	5.91443	0.0666112	35.7346	199.267	13.2962	193.272
8.39758	6.86095	5.93204	0.0333056	91.8507	200.833	32.0107	192.34
8.4602	6.72773	5.95794	0.0333056	107.103	199.134	39.9105	192.273
8.55298	7.96003	5.97116	0	86.5088	199.8	32.9719	190.308
8.61203	7.32723	5.98549	0	85.0519	200.733	31.3731	191.84
8.65508	7.79351	6.01235	0.0666112	85.2805	196.969	32.2245	191.54
