pressure	height	temperature	dewpoint	rh	mixingratio	direction	sknt	thta	thte	thtv
1015	20	16.4	16.1	98	11.46	0	0	288.3	320.5	290.3
1000	152	21.2	16.4	74	11.87	345	10	294.4	328.5	296.4
996	187	21.8	15.8	69	11.44	355	9	295.3	328.4	297.3
986	275	23.2	14.2	57	10.42	10	9	297.6	328.1	299.4
983	301	23.1	13.9	56	10.22	15	9	297.6	327.6	299.5
976	364	22.7	13.1	54	9.76	5	9	297.9	326.6	299.6
968	435	22.3	12.1	53	9.25	0	8	298.2	325.5	299.9
958	526	21.8	10.9	50	8.64	0	8	298.5	324.1	300.1
955	553	21.6	10.6	50	8.47	2	8	298.6	323.7	300.2
950	599	21.2	10.2	49	8.31	5	8	298.7	323.4	300.2
941	681	20.6	9.6	49	8.03	18	7	298.9	322.8	300.4
930	783	19.9	8	46	7.26	35	5	299.2	320.8	300.5
929	792	19.8	7.8	46	7.19	34	5	299.2	320.7	300.5
925	829	19.6	7.6	46	7.13	30	4	299.3	320.6	300.6
917	903	18.9	7.5	48	7.16	15	5	299.4	320.8	300.7
912	949	18.5	7.5	49	7.18	15	6	299.4	320.9	300.7
893	1128	16.9	7.3	53	7.26	35	10	299.5	321.2	300.8
885	1204	16.1	7.3	56	7.29	25	8	299.6	321.4	300.9
876	1291	15.3	7.2	58	7.33	40	9	299.6	321.5	300.9
866	1389	14.5	7.1	61	7.37	35	8	299.7	321.7	301
856	1487	13.6	7	65	7.42	40	10	299.7	321.9	301.1
850	1547	13	7	67	7.44	35	9	299.8	322	301.1
843	1617	12.4	6.4	67	7.2	35	8	299.8	321.4	301.1
839	1656	12.1	6.1	67	7.07	35	7	299.9	321.1	301.2
833	1717	11.6	5.6	67	6.89	39	6	300	320.7	301.3
831	1737	11.4	5.4	67	6.82	40	6	300	320.5	301.3
823	1818	10.7	4.7	66	6.56	40	7	300.1	319.9	301.3
817	1879	10.2	4.2	66	6.37	40	6	300.2	319.4	301.4
816	1889	10.2	4.1	66	6.31	40	6	300.3	319.3	301.4
808	1971	9.8	2.9	62	5.89	30	7	300.8	318.6	301.8
807	1981	9.8	2.8	62	5.83	28	7	300.8	318.5	301.9
801	2043	9.4	3.4	66	6.14	15	8	301	319.6	302.2
796	2095	8.9	2.9	66	5.97	5	8	301.1	319.2	302.2
786	2200	8	2	66	5.66	9	9	301.2	318.4	302.2
784	2221	7.9	1.7	65	5.54	10	9	301.2	318.1	302.2
776	2306	7.3	0.4	62	5.09	5	9	301.5	317.1	302.4
775	2316	7.2	0.2	61	5.03	6	9	301.5	316.9	302.4
770	2370	6.8	0.8	66	5.29	9	11	301.7	317.8	302.6
769	2380	6.7	0.5	65	5.2	10	11	301.7	317.6	302.7
762	2455	6.3	-1.4	58	4.57	5	11	302.1	316.1	302.9
756	2520	6	-3	52	4.07	8	12	302.4	315	303.1
748	2607	5.8	-7.2	39	2.99	13	13	303.1	312.5	303.6
738	2718	5	-3	56	4.17	18	15	303.4	316.4	304.1
735	2751	4.7	-2.9	58	4.21	20	15	303.4	316.5	304.2
730	2806	4.2	-2.8	60	4.28	16	16	303.4	316.8	304.2
729	2818	4.2	-3.6	57	4.03	15	16	303.5	316.1	304.3
721	2907	3.8	-10.2	35	2.45	8	15	304.1	312	304.5
717	2953	3.5	-9.8	37	2.55	5	14	304.3	312.4	304.7
710	3032	3.1	-9.1	40	2.72	0	14	304.6	313.3	305.1
709	3044	3	-9	41	2.74	0	14	304.7	313.4	305.2
704	3101	2.7	-9.9	39	2.58	0	14	304.9	313.2	305.4
700	3147	2.4	-10.6	38	2.45	5	13	305.1	313	305.6
697	3182	2.2	-10.9	37	2.39	5	12	305.3	313	305.7
690	3263	1.8	-11.8	36	2.26	5	11	305.7	313.1	306.1
684	3334	1.5	-12.5	35	2.15	0	10	306.1	313.1	306.5
683	3345	1.4	-12.6	34	2.14	0	10	306.1	313.1	306.5
678	3404	1	-13	34	2.08	0	11	306.3	313.1	306.7
672	3476	0.5	-13.5	34	2.01	10	11	306.5	313.1	306.9
669	3512	0.2	-13.8	34	1.98	9	10	306.6	313.1	307
658	3645	-0.4	-15.2	32	1.79	5	7	307.4	313.3	307.7
656	3669	-0.5	-15.5	31	1.75	2	7	307.6	313.4	307.9
652	3718	-0.9	-15.4	32	1.78	355	6	307.6	313.5	308
648	3767	-1.3	-15.3	34	1.8	348	5	307.7	313.7	308.1
646	3791	-1.5	-15.3	34	1.81	345	5	307.8	313.8	308.1
640	3866	-2.2	-15.2	36	1.84	355	5	307.8	313.9	308.1
632	3966	-3.1	-15.1	39	1.88	344	5	307.9	314.1	308.2
622	4092	-3.8	-19.9	27	1.27	330	5	308.5	312.8	308.8
620	4117	-3.9	-20.9	25	1.17	330	5	308.6	312.6	308.9
613	4206	-4.5	-20.3	28	1.25	330	5	308.9	313.1	309.1
603	4336	-5.5	-19.5	32	1.36	348	4	309.3	313.9	309.5
596	4427	-6	-21.1	29	1.19	0	4	309.7	313.7	309.9
590	4506	-6.5	-22.6	27	1.06	355	4	310	313.7	310.2
585	4573	-6.9	-23.8	25	0.96	0	3	310.3	313.6	310.5
581	4626	-7.3	-24.8	23	0.89	5	3	310.5	313.6	310.7
578	4667	-7.5	-25.5	22	0.84	359	3	310.7	313.6	310.9
576	4694	-7.8	-24.8	24	0.9	355	3	310.7	313.8	310.9
572	4748	-8.3	-23.3	29	1.03	349	4	310.7	314.2	310.9
559	4926	-9.2	-30.3	16	0.55	330	9	311.6	313.6	311.8
555	4982	-9.5	-32.5	13	0.45	335	11	311.9	313.6	312
547	5094	-10.4	-31.2	16	0.52	345	14	312.2	314.1	312.3
544	5136	-10.7	-30.7	18	0.55	342	14	312.3	314.3	312.4
542	5164	-10.9	-30	19	0.59	340	14	312.4	314.5	312.5
536	5249	-11.6	-27.8	25	0.73	350	15	312.6	315.1	312.7
531	5321	-12.2	-26	31	0.87	350	15	312.7	315.8	312.9
523	5437	-13.1	-23.1	43	1.15	354	14	313	316.9	313.2
520	5481	-13.3	-23.3	43	1.13	355	14	313.2	317.2	313.4
515	5555	-13.1	-31.8	19	0.52	5	16	314.4	316.3	314.5
512	5599	-12.9	-36.9	11	0.32	2	15	315.1	316.3	315.2
510	5629	-13	-36.5	12	0.33	0	15	315.3	316.6	315.4
508	5659	-13.1	-36.1	13	0.35	356	15	315.6	316.9	315.6
500	5780	-13.9	-44.9	5	0.14	340	15	316	316.6	316.1
498	5810	-14.1	-46.1	5	0.12	340	15	316.1	316.6	316.2
492	5902	-14.9	-41.9	8	0.2	338	16	316.3	317	316.3
