pressure	height	temperature	dewpoint	rh	mixingratio	direction	sknt	thta	thte	thtv
1014	20	21.4	21.1	98	15.8	0	0	293.4	338.5	296.2
1000	144	24.8	19.8	74	14.76	325	10	297.9	341	300.6
993	206	25.4	17.4	61	12.75	326	10	299.1	336.6	301.4
948	612	23.4	13.4	53	10.29	332	11	301.1	331.7	303
925	825	21.6	12.6	57	10	335	11	301.4	331.2	303.2
915.5	914	20.8	12.2	58	9.85	330	9	301.5	330.8	303.3
901	1052	19.6	11.6	60	9.61	301	9	301.6	330.3	303.4
888	1177	19	10	56	8.75	274	8	302.2	328.5	303.8
883.7	1219	18.8	9.6	55	8.57	265	8	302.4	328.2	304
866	1393	18	8	52	7.83	276	11	303.4	327.1	304.8
852.8	1524	17	7	52	7.43	285	13	303.7	326.2	305
850	1552	16.8	6.8	52	7.34	275	15	303.7	326.1	305.1
830	1755	15.6	6.6	55	7.42	286	16	304.5	327.1	305.9
822.8	1829	15.3	6	54	7.19	290	17	305	327	306.3
802	2045	14.4	4.4	51	6.58	297	17	306.3	326.6	307.5
793.6	2134	13.8	4.2	52	6.54	300	17	306.5	326.7	307.7
781	2269	12.8	3.8	54	6.48	304	18	306.9	326.9	308.1
765.3	2438	11.5	3.2	57	6.35	310	19	307.3	327	308.4
737.7	2743	9.2	2.2	62	6.13	335	20	307.9	327	309.1
711	3048	6.8	1.2	68	5.92	300	17	308.6	327.1	309.7
700	3178	5.8	0.8	70	5.83	300	16	308.9	327.1	310
692	3272	5.2	0.2	70	5.64	295	17	309.2	326.9	310.3
685.1	3353	4.7	-0.5	69	5.42	290	17	309.6	326.6	310.6
661	3645	3	-3	65	4.66	304	17	310.8	325.7	311.7
659.9	3658	2.9	-3.1	64	4.62	305	17	310.9	325.6	311.8
643	3867	1.8	-5.2	60	4.06	298	18	311.9	325	312.7
638	3930	1.4	-4.6	64	4.28	296	19	312.2	325.9	313
635.5	3962	1.3	-5.2	62	4.11	295	19	312.4	325.6	313.2
617	4199	0.4	-9.6	47	3.01	291	22	314	323.9	314.6
611.8	4267	-0.1	-9.8	48	2.99	290	23	314.2	324.1	314.8
602	4396	-1.1	-10.1	50	2.96	289	22	314.5	324.3	315.1
586	4610	-2.3	-14.3	39	2.17	287	21	315.5	322.9	315.9
567	4870	-4.3	-15.3	42	2.06	285	20	316.2	323.2	316.6
566.5	4877	-4.3	-15.3	42	2.06	285	20	316.2	323.2	316.6
553	5066	-5.5	-15.5	45	2.08	279	24	317	324.1	317.4
