pressure	height	temperature	dewpoint	rh	mixingratio	direction	sknt	thta	thte	thtv
242	11180	-43.5	-50.5	46	0.15	317	33	344.4	345.1	344.5
234	11406	-45.3	-51.3	51	0.15	324	38	345	345.7	345.1
227	11608	-46.4	-54.3	40	0.1	330	42	346.3	346.8	346.3
223	11726	-47.1	-56.1	35	0.09	330	40	347.1	347.4	347.1
218	11876	-48.3	-56.4	38	0.08	330	38	347.5	347.9	347.5
217	11907	-48.5	-56.5	39	0.08	331	38	347.6	348	347.6
212	12060	-49.6	-58.1	36	0.07	335	38	348.2	348.6	348.2
209	12153	-50.2	-59	35	0.06	335	36	348.6	348.9	348.6
207	12216	-50.7	-59.7	34	0.06	334	35	348.9	349.1	348.9
200	12440	-52.7	-60.7	37	0.05	330	32	349.1	349.4	349.2
194	12632	-54.2	-61.5	40	0.05	330	29	349.7	350	349.7
185	12931	-56.7	-62.8	46	0.04	325	31	350.6	350.8	350.6
172	13390	-60.4	-64.8	56	0.04	340	37	351.8	352	351.8
169	13501	-61.3	-65.3	59	0.03	345	36	352.1	352.2	352.1
167	13576	-61.9	-65.6	61	0.03	345	35	352.3	352.4	352.3
162	13763	-63.3	-67.3	58	0.03	348	34	353	353.1	353
159	13877	-64.3	-68	61	0.03	350	34	353.2	353.3	353.2
152	14150	-66.7	-69.5	68	0.02	342	34	353.6	353.8	353.6
150	14230	-67.3	-70.4	65	0.02	340	34	354	354.1	354
147	14351	-68.2	-70.8	69	0.02	340	34	354.5	354.6	354.5
144	14474	-69.1	-71.3	73	0.02	343	33	355	355.1	355
142	14557	-69.5	-72	71	0.02	345	32	355.6	355.7	355.6
137	14770	-70.7	-73.7	64	0.01	340	29	357.2	357.3	357.2
135	14857	-70.7	-74.3	59	0.01	334	28	358.8	358.8	358.8
132	14990	-70.1	-74.1	56	0.01	325	26	362.1	362.2	362.1
129	15126	-69.5	-73.9	53	0.01	332	23	365.6	365.7	365.6
126	15266	-69.8	-74.4	51	0.01	340	19	367.5	367.6	367.5
125	15313	-69.9	-74.6	50	0.01	338	19	368.2	368.2	368.2
122	15457	-69.7	-75.7	41	0.01	330	20	371.1	371.2	371.1
118	15655	-69.2	-75.7	38	0.01	315	8	375.6	375.6	375.6
116	15757	-69	-75.7	37	0.01	340	8	377.9	377.9	377.9
114	15861	-68.7	-75.7	36	0.01	345	12	380.2	380.3	380.2
112	15967	-68.2	-75.4	35	0.01	350	17	383.2	383.2	383.2
110	16076	-67.6	-75.2	33	0.01	350	13	386.2	386.2	386.2
106	16299	-66.5	-74.6	31	0.01	0	9	392.4	392.5	392.4
104	16414	-65.9	-74.3	30	0.02	275	3	395.7	395.8	395.7
103	16472	-65.6	-74.2	30	0.02	250	9	397.3	397.4	397.4
101	16590	-65	-73.8	28	0.02	265	15	400.7	400.8	400.7
100	16650	-64.7	-73.7	28	0.02	265	15	402.4	402.6	402.5
98	16774	-64.1	-73.6	26	0.02	270	11	405.9	406	405.9
92	17163	-62.3	-73.3	22	0.02	318	6	416.9	417	416.9
90	17299	-62.7	-74.3	20	0.02	335	4	418.8	418.9	418.8
89	17369	-62.8	-74.8	19	0.02	335	6	419.8	419.9	419.8
88.7	17389	-62.9	-74.9	18	0.02	333	6	420.1	420.2	420.1
84.4	17695	-64.3	-76.3	18	0.01	297	9	423.2	423.3	423.2
83	17798	-64	-76.5	16	0.01	285	10	426	426.1	426
79.7	18048	-63.1	-77.1	13	0.01	318	3	432.7	432.8	432.7
79	18102	-63.1	-77.2	13	0.01	325	2	433.7	433.8	433.7
77	18260	-63.3	-77.3	13	0.01	15	2	436.6	436.7	436.6
76	18341	-63.1	-77.3	13	0.01	300	3	438.7	438.8	438.7
75	18423	-62.9	-77.4	12	0.01	260	7	440.8	440.9	440.8
74	18506	-62.6	-77.5	12	0.01	260	9	443	443.1	443
71	18762	-61.9	-77.6	11	0.01	275	4	449.7	449.8	449.7
70	18850	-61.7	-77.7	10	0.01	205	5	452	452.1	452.1
69	18939	-61.4	-77.7	10	0.01	190	6	454.5	454.6	454.5
67	19122	-60.9	-77.8	9	0.01	245	10	459.5	459.6	459.5
65	19311	-60.3	-77.9	8	0.01	160	4	464.8	464.9	464.8
64	19407	-60	-78	8	0.01	195	4	467.5	467.6	467.5
63	19505	-59.7	-78	8	0.01	325	4	470.2	470.3	470.2
61	19706	-59.1	-78.1	7	0.01	40	2	475.9	476.1	476
60	19809	-59	-78.3	7	0.01	150	5	478.5	478.6	478.5
58	20021	-58.8	-78.6	6	0.01	355	2	483.6	483.8	483.7
57.6	20065	-58.7	-78.7	6	0.01	3	4	484.7	484.8	484.7
57	20130	-58.8	-79	6	0.01	15	8	486	486.1	486
53.9	20480	-59.3	-80.3	5	0.01	57	5	492.6	492.7	492.6
53	20586	-59.2	-80.6	5	0.01	70	4	495.2	495.3	495.2
51.6	20753	-59.1	-81.1	4	0.01	133	5	499.3	499.3	499.3
51.5	20765	-59.1	-81.1	4	0.01	137	5	499.5	499.6	499.5
