pressure	height	temperature	dewpoint	rh	mixingratio	direction	sknt	thta	thte	thtv
1015	20	16.8	16.5	98	11.76	0	0	288.7	321.7	290.8
1009	70	20.2	20.2	100	15	4	4	292.6	335.3	295.2
1001	138	21	20.7	98	15.61	9	10	294.1	338.8	296.8
1000	147	21	20.6	98	15.53	10	11	294.1	338.6	296.9
993	208	20.6	19.7	95	14.77	6	11	294.3	336.7	296.9
967	439	21.8	17.2	75	12.93	353	10	297.8	335.5	300.1
925	824	20.2	14.2	68	11.12	330	8	300	332.8	302
915.4	914	19.5	13.2	67	10.53	325	10	300.2	331.3	302.1
894	1117	18	11	64	9.3	318	11	300.6	328.3	302.3
883.4	1219	17.2	10.7	66	9.22	315	12	300.8	328.3	302.5
873	1320	16.4	10.4	68	9.15	312	12	301	328.3	302.7
852.3	1524	14.6	8.6	67	8.29	305	11	301.2	326	302.7
850	1547	14.4	8.4	67	8.2	300	10	301.2	325.8	302.7
828	1768	12.8	8.1	73	8.25	300	12	301.8	326.5	303.3
822	1829	12.3	7.3	72	7.88	300	13	301.9	325.6	303.3
821	1840	12.2	7.2	71	7.82	300	13	301.9	325.4	303.3
792.5	2134	9.7	5.1	73	6.99	305	13	302.3	323.5	303.6
773	2341	8	3.6	74	6.45	315	11	302.6	322.2	303.8
764	2438	7.5	2.3	70	5.96	320	10	303.1	321.3	304.2
736.1	2743	5.8	-1.7	58	4.6	335	16	304.5	318.8	305.4
709.2	3048	4.2	-5.8	48	3.52	350	13	306	317.1	306.6
709	3050	4.2	-5.8	48	3.52	350	13	306	317.1	306.6
704	3108	3.8	-5.2	52	3.71	350	14	306.2	317.9	306.9
700	3154	3.4	-4.6	56	3.9	350	15	306.2	318.5	306.9
696	3200	3.4	-7.6	44	3.12	350	15	306.7	316.7	307.3
690	3271	3.2	-10.8	35	2.44	350	14	307.3	315.2	307.7
685	3329	3.4	-11.6	32	2.31	350	13	308.1	315.7	308.6
683	3353	3.3	-10.9	34	2.45	350	13	308.3	316.3	308.7
667	3545	2.6	-5.4	56	3.85	350	14	309.6	321.9	310.3
657.7	3658	2	-6.6	53	3.56	350	15	310.2	321.7	310.9
638	3903	0.8	-9.2	47	3	342	17	311.5	321.3	312.1
633.3	3962	0.4	-9.3	48	3	340	17	311.7	321.5	312.3
609.6	4267	-1.6	-9.7	54	3.02	335	13	312.8	322.7	313.3
609	4274	-1.7	-9.7	54	3.02	335	13	312.8	322.7	313.3
586.5	4572	-3.2	-13	47	2.41	345	16	314.4	322.5	314.9
564.3	4877	-4.7	-16.4	39	1.89	350	17	316.2	322.6	316.5
561	4923	-4.9	-16.9	38	1.82	351	17	316.4	322.7	316.8
556	4993	-5.3	-15.3	45	2.1	352	17	316.8	323.9	317.2
546	5136	-5.5	-17.5	38	1.78	354	16	318.2	324.3	318.5
542.8	5182	-5.7	-19.3	33	1.54	355	16	318.4	323.8	318.8
534	5309	-6.3	-24.3	23	1.01	357	18	319.2	322.9	319.4
522	5486	-7.4	-20.5	34	1.44	0	21	320	325	320.2
517	5561	-7.9	-18.9	41	1.67	0	19	320.3	326.1	320.6
501.9	5791	-9.1	-21.9	35	1.33	0	14	321.5	326.2	321.7
500	5820	-9.3	-22.3	34	1.29	355	15	321.6	326.2	321.9
489	5992	-10.5	-22.5	37	1.29	355	14	322.2	326.8	322.5
482.4	6096	-11.2	-22.5	39	1.31	355	14	322.6	327.2	322.8
480	6135	-11.5	-22.5	40	1.32	354	14	322.7	327.4	322.9
470	6297	-12.5	-24.5	36	1.13	352	13	323.4	327.5	323.6
463.6	6401	-13.4	-24.7	38	1.12	350	13	323.5	327.5	323.7
462	6428	-13.7	-24.7	39	1.12	350	13	323.5	327.6	323.7
450	6628	-15.3	-27.3	35	0.91	350	15	323.9	327.3	324.1
445.4	6706	-15.8	-28.3	34	0.84	350	16	324.2	327.3	324.4
427.7	7010	-17.9	-32	28	0.62	340	16	325.4	327.7	325.5
419	7165	-18.9	-33.9	25	0.52	337	17	326	328	326.1
412	7291	-20.1	-34.1	28	0.52	335	18	326	328	326.1
