pressure	height	temperature	dewpoint	rh	mixingratio	direction	sknt	thta	thte	thtv
1012	20	21.8	21.3	97	16.03	0	0	293.9	339.8	296.8
1000	123	23.8	20.7	83	15.63	285	11	296.9	342.3	299.7
988	229	24.6	19.6	74	14.76	306	10	298.8	341.9	301.4
980	300	24.4	18.9	72	14.27	320	10	299.2	341.1	301.8
970	390	24.1	18.1	69	13.67	340	6	299.9	340.1	302.3
959	490	23.8	17.2	67	13.03	0	8	300.5	339	302.9
952	554	23.6	16.6	65	12.64	3	9	300.9	338.3	303.2
947	600	23.3	16.3	65	12.44	5	10	301.1	337.9	303.3
937	693	22.6	15.6	65	12.04	0	10	301.3	337	303.5
926	796	21.9	14.9	64	11.61	5	5	301.6	336.1	303.7
925	805	21.8	14.8	64	11.57	5	5	301.6	336	303.7
915	899	21.1	14.4	66	11.38	10	4	301.8	335.6	303.9
904	1004	20.3	13.9	67	11.17	0	5	302	335.3	304.1
893	1110	19.5	13.4	68	10.96	335	4	302.2	334.9	304.2
892	1119	19.4	13.4	68	10.94	332	4	302.3	334.9	304.2
881	1226	19	12.1	65	10.18	295	4	302.9	333.4	304.7
870	1334	18.5	10.8	61	9.45	290	8	303.5	331.9	305.2
853	1503	17.8	8.8	56	8.4	298	11	304.5	329.9	306
850	1533	17.6	7.6	52	7.76	300	12	304.6	328.2	306
848	1553	17.6	6.8	49	7.35	300	12	304.7	327.2	306.1
832	1716	17.2	0.2	32	4.69	289	16	306	320.7	306.9
827	1767	16.8	0.3	33	4.74	285	17	306.1	321	307
806	1984	15.2	0.6	37	4.99	295	19	306.6	322.2	307.6
795	2101	14.3	0.8	40	5.12	295	20	306.9	322.9	307.8
784	2219	13.4	1	43	5.26	300	20	307.1	323.6	308.1
774	2327	12.5	1.1	46	5.4	290	21	307.4	324.2	308.4
770	2371	12.2	1.2	47	5.45	292	21	307.5	324.5	308.5
763	2448	11.8	-0.2	44	4.97	296	22	307.9	323.5	308.8
755	2535	11.1	0.8	49	5.38	300	22	308	324.9	309
745	2646	10.2	1.9	56	5.95	305	20	308.2	326.8	309.4
729	2827	8.8	3.9	71	6.99	297	20	308.6	330.3	309.9
716	2976	8.1	1.7	64	6.07	290	20	309.4	328.4	310.5
711	3034	7.8	0.8	61	5.74	288	20	309.7	327.8	310.8
700	3163	7	1	66	5.91	285	20	310.2	328.8	311.3
699	3175	7	1	66	5.92	283	20	310.3	329	311.4
698	3187	6.9	0.8	65	5.83	280	20	310.4	328.8	311.5
680	3401	5.7	-3.4	52	4.39	290	26	311.4	325.4	312.2
675	3461	5.4	-4.6	49	4.05	293	25	311.6	324.7	312.4
671	3510	4.9	-4.3	51	4.17	295	25	311.6	325.1	312.4
670	3522	4.8	-4.2	52	4.2	294	25	311.6	325.2	312.4
