pressure	height	temperature	dewpoint	rh	mixingratio	direction	sknt	thta	thte	thtv
1018	20	16.6	16.4	99	11.65	0	0	288.3	320.9	290.3
1011	78	18.6	18.6	100	13.52	8	2	290.8	329.1	293.2
1000	170	19	18.4	96	13.5	20	5	292.1	330.5	294.5
980	345	20.6	14.6	68	10.77	16	6	295.4	326.7	297.4
972	416	20.2	14.2	68	10.58	15	6	295.7	326.4	297.6
950	613	18.8	13.8	73	10.54	10	7	296.3	326.9	298.1
930	796	18.2	11.2	64	9.06	6	8	297.4	324.1	299.1
925	842	18	12	68	9.61	5	8	297.7	325.9	299.4
917.2	914	17.5	11.7	69	9.52	15	7	297.9	325.9	299.6
896	1114	16	11	72	9.28	355	4	298.4	325.7	300
885	1219	15.4	9.5	68	8.5	345	3	298.8	324	300.4
859	1471	14	6	59	6.87	324	6	299.9	320.5	301.1
853.6	1524	13.6	6.2	61	7.03	320	7	300.1	321.1	301.3
850	1560	13.4	6.4	63	7.14	305	6	300.2	321.6	301.5
839	1670	12.6	5.6	62	6.84	329	6	300.4	321	301.7
825	1811	12	4	58	6.22	1	7	301.3	320.1	302.4
823.2	1829	11.9	3.9	58	6.18	5	7	301.3	320.1	302.4
797	2099	10.2	2.2	58	5.66	356	10	302.3	319.6	303.4
793.6	2134	9.9	1.9	58	5.58	355	10	302.4	319.4	303.4
777	2310	8.6	0.6	57	5.17	355	9	302.8	318.7	303.8
765	2438	7.9	-1.1	53	4.65	355	9	303.4	317.8	304.2
764	2449	7.8	-1.2	53	4.61	354	9	303.4	317.7	304.3
739	2723	5.6	-0.4	65	5.05	341	12	303.9	319.5	304.8
737.2	2743	5.5	-0.9	63	4.89	340	12	304.1	319.2	305
726	2868	5.2	-3.8	52	4	344	13	305	317.6	305.8
719	2947	4.8	-4.2	52	3.91	347	13	305.4	317.8	306.1
713	3015	4.4	-4.6	52	3.83	349	14	305.7	317.8	306.4
710.1	3048	4.5	-7.6	41	3.06	350	14	306.2	315.9	306.7
701	3153	4.8	-17.2	19	1.42	350	14	307.6	312.4	307.9
700	3165	4.8	-19.2	16	1.2	350	14	307.8	311.9	308
683.9	3353	3.4	-15.8	23	1.64	345	17	308.3	313.8	308.6
670	3519	2.2	-12.8	32	2.14	345	18	308.7	315.8	309.1
658.5	3658	1.3	-12.9	34	2.15	345	18	309.3	316.4	309.7
654	3714	1	-13	34	2.16	346	18	309.5	316.6	309.9
648	3788	0.4	-14.6	31	1.91	347	18	309.6	316	310
638	3912	-0.1	-14.1	34	2.02	349	17	310.5	317.2	310.8
634	3962	-0.2	-14.6	33	1.96	350	17	310.9	317.5	311.3
628	4038	-0.3	-15.3	31	1.86	349	17	311.6	317.9	312
610.2	4267	-1	-19.3	24	1.37	345	18	313.4	318.2	313.7
596	4455	-1.5	-22.5	18	1.06	339	20	314.9	318.7	315.1
587.2	4572	-1.9	-23.8	17	0.96	335	21	315.8	319.2	315.9
576	4725	-2.5	-25.5	15	0.84	335	21	316.9	319.9	317
571	4794	-2.9	-23.9	18	0.98	335	20	317.2	320.7	317.4
567	4850	-3.3	-26.3	15	0.79	335	20	317.3	320.2	317.5
565	4877	-3.5	-26.3	15	0.8	335	20	317.5	320.4	317.6
548	5118	-4.9	-25.9	18	0.85	351	21	318.6	321.6	318.7
543.5	5182	-5.3	-27.6	16	0.73	355	21	318.8	321.5	318.9
522.6	5486	-7.4	-35.6	8	0.35	350	21	319.9	321.2	320
502.5	5791	-9.4	-43.7	4	0.16	0	22	321	321.6	321
500	5830	-9.7	-44.7	4	0.14	355	22	321.1	321.7	321.2
498	5861	-9.9	-44.9	4	0.14	354	22	321.3	321.8	321.3
482.9	6096	-11.9	-44	5	0.16	350	25	321.7	322.3	321.7
464	6401	-14.4	-42.8	7	0.19	345	26	322.2	322.9	322.2
462	6435	-14.7	-42.7	7	0.19	346	26	322.2	323	322.3
450	6633	-16.1	-47.1	5	0.12	349	28	322.9	323.4	322.9
445.7	6706	-16.6	-45.8	6	0.14	350	28	323.2	323.8	323.2
427.9	7010	-18.8	-40.2	13	0.27	350	30	324.2	325.2	324.2
427	7026	-18.9	-39.9	14	0.28	350	30	324.2	325.3	324.3
418	7185	-19.7	-50.7	5	0.09	353	33	325.2	325.6	325.2
410.7	7315	-20.8	-47.8	7	0.12	355	35	325.4	325.9	325.4
400	7510	-22.5	-43.5	13	0.2	355	33	325.7	326.5	325.7
398	7547	-22.9	-42.9	14	0.22	355	33	325.6	326.5	325.6
394	7620	-23.2	-46.9	10	0.14	355	33	326.1	326.7	326.1
384	7809	-24.1	-57.1	3	0.04	355	33	327.4	327.6	327.4
377.9	7925	-24.8	-59.1	3	0.03	355	33	328	328.1	328
375	7981	-25.1	-60.1	2	0.03	354	34	328.3	328.4	328.3
367	8138	-26.1	-56.1	4	0.05	352	36	329	329.2	329
362.3	8230	-26.6	-55.4	5	0.06	350	38	329.5	329.7	329.5
347.3	8534	-28.4	-52.9	8	0.08	0	46	331.1	331.4	331.1
332.8	8839	-30.2	-50.4	12	0.11	15	55	332.7	333.2	332.7
332	8857	-30.3	-50.3	12	0.12	15	55	332.8	333.3	332.8
318.7	9144	-32.5	-50.5	15	0.12	10	59	333.7	334.2	333.7
305.2	9449	-34.8	-50.6	18	0.12	10	59	334.6	335.1	334.6
300	9570	-35.7	-50.7	20	0.12	5	61	334.9	335.5	335
292.1	9754	-37.3	-48.1	31	0.17	5	61	335.3	336	335.3
285	9924	-38.7	-45.7	48	0.23	8	60	335.6	336.5	335.6
282	9996	-39.1	-47.1	42	0.2	9	59	336	336.8	336.1
279.5	10058	-39.5	-47.2	44	0.2	10	59	336.3	337.1	336.3
275	10168	-40.3	-47.3	47	0.2	8	60	336.7	337.5	336.8
267.2	10363	-41.6	-49.2	43	0.16	5	62	337.6	338.3	337.6
263	10470	-42.3	-50.3	41	0.15	5	62	338.1	338.7	338.1
255.4	10668	-44	-51.1	45	0.14	5	63	338.5	339.1	338.5
254	10704	-44.3	-51.3	46	0.13	5	62	338.5	339.1	338.6
250	10810	-44.9	-52.9	40	0.11	5	59	339.2	339.7	339.2
240	11081	-46.9	-54.9	40	0.09	2	58	340.1	340.6	340.2
235	11220	-47.9	-55.9	39	0.08	1	57	340.7	341.1	340.7
233	11278	-48.1	-56.6	37	0.08	0	57	341.2	341.6	341.2
231	11334	-48.3	-57.3	34	0.07	0	57	341.8	342.1	341.8
227	11448	-48.9	-57.9	34	0.07	0	58	342.6	342.9	342.6
224	11535	-49.9	-58.9	34	0.06	0	58	342.3	342.6	342.3
222.4	11582	-50.1	-59.4	33	0.06	0	58	342.7	343	342.7
212.2	11887	-51.5	-62.4	26	0.04	5	58	345.1	345.3	345.1
202.4	12192	-52.9	-65.5	20	0.03	355	58	347.6	347.7	347.6
200	12270	-53.3	-66.3	19	0.03	0	65	348.2	348.3	348.2
199	12302	-53.5	-66.5	19	0.03	0	65	348.4	348.5	348.4
197	12367	-53.5	-67.5	17	0.02	0	65	349.4	349.5	349.4
193.1	12497	-52.9	-69	12	0.02	0	65	352.3	352.4	352.3
186	12739	-51.9	-71.9	7	0.01	0	71	357.8	357.8	357.8
170	13314	-55.3	-78.3	4	0.01	0	87	361.5	361.5	361.5
167.4	13411	-55.8	-79.4	4	0	0	87	362.1	362.1	362.1
159.7	13716	-57.6	-82.8	3	0	5	85	364	364.1	364
156	13864	-58.5	-84.5	2	0	10	76	365	365	365
152.1	14021	-59.3	-83.3	3	0	15	67	366.3	366.3	366.3
150	14110	-59.7	-82.7	4	0	10	56	367	367	367
148	14194	-59.7	-82.7	4	0	7	56	368.4	368.4	368.4
147	14236	-59.7	-82.7	4	0	5	56	369.1	369.2	369.1
141	14497	-59.1	-80.1	5	0	355	55	374.6	374.6	374.6
138	14630	-58.5	-83.2	3	0	350	54	377.9	378	377.9
137	14677	-58.3	-84.3	2	0	352	52	379.1	379.1	379.1
136	14723	-58.5	-85.5	2	0	355	51	379.6	379.6	379.6
131.5	14935	-59.5	-86.2	2	0	5	43	381.4	381.4	381.4
125.2	15240	-61	-87.1	2	0	5	43	384.1	384.1	384.1
124	15299	-61.3	-87.3	2	0	6	43	384.6	384.6	384.6
122	15400	-61.3	-87.3	2	0	8	42	386.4	386.4	386.4
119.2	15545	-61.4	-87.4	2	0	10	42	388.8	388.8	388.8
117	15659	-61.5	-87.5	2	0	8	41	390.7	390.7	390.7
113.4	15850	-61.9	-87.3	2	0	5	38	393.5	393.5	393.5
111	15985	-62.1	-87.1	2	0	9	36	395.5	395.5	395.5
109	16097	-61.9	-87.9	2	0	13	34	397.9	397.9	397.9
108	16154	-61.8	-87.8	2	0	15	33	399.1	399.1	399.1
106	16269	-61.7	-87.7	2	0	11	30	401.5	401.5	401.5
104	16387	-61.9	-86.9	2	0	7	26	403.3	403.3	403.3
102.8	16459	-61.7	-87	2	0	5	24	405.1	405.1	405.1
100	16630	-61.1	-87.1	2	0	0	20	409.4	409.4	409.4
98.8	16705	-60.9	-86.9	2	0	3	20	411.2	411.2	411.2
97.9	16764	-61	-86.9	2	0	5	20	412.1	412.1	412.1
94	17013	-61.7	-87.1	2	0	10	18	415.6	415.6	415.6
92	17146	-62	-87.2	2	0	5	16	417.5	417.5	417.5
90.1	17275	-62.3	-87.3	2	0	3	17	419.4	419.4	419.4
88.4	17392	-62.7	-87.7	2	0	1	18	420.9	420.9	420.9
88	17420	-62.5	-87.6	2	0	0	18	421.7	421.7	421.7
86	17562	-61.8	-87.2	2	0	10	23	426	426	426
83.1	17774	-60.7	-86.7	2	0	28	14	432.5	432.5	432.5
82	17857	-60.6	-86.6	2	0	35	11	434.4	434.4	434.4
81.4	17902	-60.5	-86.5	2	0	26	10	435.4	435.4	435.4
81	17933	-60.5	-86.4	2	0	20	9	436	436	436
79	18088	-60.7	-85.7	2	0	0	8	438.8	438.8	438.8
78.9	18096	-60.7	-85.7	2	0	2	8	438.9	438.9	438.9
78	18167	-60.7	-85.7	2	0	25	10	440.4	440.5	440.4
77	18248	-60.6	-85.6	2	0	45	14	442.2	442.2	442.2
76	18329	-60.6	-85.6	2	0	60	12	443.9	444	443.9
74.9	18419	-60.5	-85.5	2	0	55	10	445.9	445.9	445.9
74	18494	-60.5	-85.5	2	0	50	8	447.5	447.6	447.5
70.4	18805	-60.3	-85.3	2	0	77	10	454.3	454.3	454.3
70	18840	-60.3	-85.3	2	0	80	10	455	455.1	455
68	19021	-60.5	-85.5	2	0	40	7	458.4	458.5	458.4
66	19208	-60.6	-85.7	2	0	70	4	462	462	462
65.4	19265	-60.7	-85.7	2	0	64	5	463.1	463.1	463.1
64.7	19332	-60.5	-85.5	2	0	57	7	464.9	465	464.9
64	19400	-60.2	-85.4	2	0	50	9	467.1	467.2	467.1
63	19499	-59.7	-85.2	2	0	50	6	470.4	470.4	470.4
62	19599	-59.2	-85	2	0	25	2	473.6	473.7	473.6
61.5	19650	-58.9	-84.9	2	0	39	4	475.3	475.3	475.3
60	19806	-57.9	-83.9	2	0.01	80	12	480.9	480.9	480.9
59.7	19837	-57.7	-83.7	2	0.01	80	11	482	482.1	482
58	20020	-57.9	-83.9	2	0.01	80	6	485.6	485.7	485.6
57.8	20042	-57.9	-83.9	2	0.01	73	7	486.1	486.1	486.1
57	20130	-57.7	-83.7	2	0.01	45	12	488.5	488.5	488.5
56	20242	-57.4	-83.4	2	0.01	45	15	491.6	491.6	491.6
55	20356	-57.1	-83.1	2	0.01	45	17	494.8	494.8	494.8
54.2	20449	-56.9	-82.9	2	0.01	57	18	497.4	497.4	497.4
54	20473	-57	-82.9	2	0.01	60	18	497.7	497.8	497.7
50	20960	-58.3	-83.3	3	0.01	125	9	505.7	505.7	505.7
49	21087	-58.5	-83.5	3	0.01	90	9	508.1	508.2	508.1
48.5	21151	-58.5	-83.5	3	0.01	95	8	509.6	509.7	509.6
48	21216	-58.3	-83.3	3	0.01	100	7	511.6	511.6	511.6
46.9	21362	-57.9	-82.9	3	0.01	78	11	516	516	516
46	21484	-57.7	-82.7	3	0.01	60	14	519.4	519.5	519.4
45.4	21566	-57.5	-82.5	3	0.01	66	16	521.7	521.8	521.7
45	21622	-57.6	-82.5	3	0.01	70	17	522.7	522.8	522.7
43.3	21864	-58.3	-82.3	3	0.01	83	12	526.9	527	526.9
43	21908	-58.4	-82.3	3	0.01	85	11	527.8	527.9	527.8
42.2	22025	-58.5	-82.5	3	0.01	77	15	530.3	530.4	530.3
42	22055	-58.4	-82.5	3	0.01	75	16	531.2	531.3	531.2
40	22363	-57.4	-82.6	3	0.01	105	19	541.3	541.4	541.3
38.8	22554	-56.7	-82.7	2	0.01	123	15	547.7	547.8	547.7
38	22686	-56.4	-82.2	3	0.01	135	13	551.7	551.8	551.7
36	23029	-55.7	-80.9	3	0.02	90	12	562.1	562.2	562.1
35.4	23136	-55.5	-80.5	3	0.02	87	11	565.4	565.5	565.4
35	23208	-55.6	-80.6	3	0.02	85	10	567	567.1	567
34.5	23299	-55.7	-80.7	3	0.02	78	10	569	569.2	569
34	23392	-55.8	-80.8	3	0.02	70	9	571.2	571.3	571.2
33.3	23524	-55.9	-80.9	3	0.02	73	10	574.3	574.4	574.3
33	23582	-55.7	-80.8	3	0.02	75	11	576.3	576.4	576.3
32	23778	-55	-80.5	3	0.02	70	13	583.2	583.4	583.2
31	23980	-54.3	-80.2	3	0.02	70	12	590.4	590.6	590.4
30.7	24042	-54.1	-80.1	3	0.02	71	13	592.6	592.8	592.6
30	24190	-53.5	-79.5	3	0.02	75	14	598.2	598.4	598.2
29.3	24342	-53.1	-79.1	3	0.03	92	17	603.3	603.6	603.4
29	24408	-53.2	-79	3	0.03	100	18	604.9	605.1	604.9
28	24634	-53.5	-78.8	3	0.03	75	5	610.1	610.4	610.1
27.3	24797	-53.7	-78.7	3	0.03	72	8	614	614.2	614
27	24868	-53.6	-78.6	3	0.03	70	9	616.3	616.6	616.3
26	25111	-53.1	-78.1	3	0.04	85	14	624.4	624.7	624.4
25	25363	-52.5	-77.5	3	0.04	60	11	632.9	633.3	632.9
24.9	25389	-52.5	-77.5	3	0.04	59	11	633.8	634.1	633.8
24	25627	-52.3	-77.3	3	0.04	45	13	641	641.5	641.1
23.4	25791	-51.9	-77.9	3	0.04	102	11	646.9	647.3	646.9
23	25902	-51.8	-77.8	3	0.04	140	9	650.5	650.9	650.5
22.3	26103	-51.5	-77.5	3	0.04	116	6	657	657.5	657
22	26191	-51.5	-77.1	3	0.05	105	4	659.6	660	659.6
21.6	26310	-51.5	-76.5	3	0.05	79	8	663	663.6	663.1
21	26493	-51.1	-76.5	3	0.06	40	14	669.5	670	669.5
20	26810	-50.5	-76.5	3	0.06	40	16	680.8	681.4	680.9
19	27145	-49.5	-75.5	3	0.07	60	21	694	694.7	694
18.6	27285	-49.1	-75.1	3	0.08	66	25	699.5	700.2	699.5
18	27499	-49.4	-75.4	3	0.08	75	32	705	705.8	705
17.2	27797	-49.9	-75.9	3	0.07	83	30	712.7	713.5	712.8
17	27874	-49.6	-75.8	3	0.08	85	30	715.9	716.7	715.9
16.1	28230	-48.5	-75.5	3	0.08	76	25	730.9	731.8	730.9
16	28271	-48.3	-75.3	3	0.09	75	24	732.8	733.7	732.9
15.5	28481	-47.3	-74.3	3	0.1	85	31	742.8	743.9	742.8
15	28698	-46.5	-73.5	3	0.12	95	38	752.5	753.9	752.6
14.9	28742	-46.3	-73.3	3	0.13	96	37	754.5	755.9	754.6
14.3	29016	-45.7	-72.7	3	0.14	105	34	765.5	767	765.5
14	29157	-45.9	-72.9	3	0.14	110	32	769.5	771	769.5
13.7	29301	-46.1	-73.1	3	0.14	109	31	773.5	775.1	773.6
13	29652	-44.7	-72.2	3	0.17	105	29	789.9	791.9	790
12.3	30022	-43.3	-71.3	3	0.21	108	32	807.6	809.9	807.7
12	30189	-43.1	-71	3	0.22	110	34	814	816.5	814.1
11	30776	-42.4	-69.9	3	0.28	120	25	836.9	840.2	837
10	31420	-41.7	-68.7	4	0.37	125	20	862.8	867.2	862.9
9.9	31488	-41.7	-68.7	4	0.37	124	19	865.2	869.7	865.4
9.6	31697	-41.5	-69.5	3	0.34	121	16	873.6	877.8	873.8
9.2	31986	-41.1	-69.1	3	0.38	117	12	885.8	890.5	886
9	32135	-41.5	-69.2	3	0.38	115	10	890	894.7	890.2
8	32931	-43.5	-69.9	4	0.39	105	7	912.6	917.5	912.8
7.7	33189	-44.1	-70.1	4	0.39	112	9	920	925	920.2
7.6	33277	-44.1	-70.1	4	0.4	115	9	923.5	928.6	923.7
7.4	33456	-43.7	-69.7	4	0.43	120	11	932.1	937.7	932.4
7.2	33640	-43.5	-69.5	4	0.46	125	12	940.3	946.2	940.5
7	33830	-43.5	-69.5	4	0.47	130	13	947.9	954.1	948.1
