pressure	height	temperature	dewpoint	rh	mixingratio	direction	sknt	thta	thte	thtv
1009	20	23.8	23.1	96	18	215	3	296.2	348.2	299.4
1002	84	23	22.2	95	17.14	219	11	296	345.5	299
1000	102	22.8	22.1	96	17.07	220	13	295.9	345.2	299
997	128	22.6	22.1	97	17.12	220	13	296	345.4	299
976	314	22	21.6	98	16.96	220	14	297.2	346.4	300.2
968	385	22.2	22.1	99	17.64	220	15	298.1	349.5	301.2
925	780	20.8	20.5	98	16.71	220	17	300.6	349.8	303.6
910.8	914	20.4	20	98	16.45	225	17	301.5	350.1	304.4
905	970	20.2	19.8	98	16.35	225	18	301.8	350.2	304.8
884	1173	19.6	18.5	93	15.41	225	20	303.2	349.1	306
879.3	1219	19.5	18.4	93	15.39	225	21	303.6	349.6	306.4
870	1311	19.4	18.2	93	15.36	227	23	304.4	350.4	307.2
862	1391	19.6	18.1	91	15.41	228	25	305.4	351.8	308.3
850	1512	19	17.5	91	15.04	230	27	306	351.4	308.8
848.8	1524	18.9	17.4	91	14.96	225	26	306.1	351.2	308.8
828	1738	18	15.6	86	13.65	228	31	307.3	348.7	309.8
819.2	1829	17.3	15.2	87	13.46	230	33	307.5	348.4	310
790.4	2134	15	14	93	12.85	230	36	308.2	347.4	310.6
780	2247	14.2	13.5	96	12.63	230	36	308.5	347	310.8
774	2313	13.8	13	95	12.31	230	36	308.7	346.3	311
762.6	2438	13.6	12.2	91	11.8	230	36	309.9	346.1	312
762	2445	13.6	12.1	91	11.77	230	36	309.9	346.1	312.1
751	2567	12.8	11.7	93	11.63	228	35	310.3	346.1	312.5
746	2624	13	11.6	91	11.63	227	35	311.1	347.1	313.3
735.5	2743	12.4	10.7	90	11.12	225	34	311.7	346.1	313.8
733	2772	12.2	10.5	89	10.99	225	34	311.8	345.9	313.9
718	2945	10.8	9.6	92	10.56	225	33	312.1	344.9	314.1
709.2	3048	10.4	8.8	90	10.12	225	33	312.8	344.3	314.7
706	3086	10.2	8.5	89	9.96	227	34	313	344.1	314.9
700	3157	9.8	8.2	90	9.84	230	35	313.3	344.1	315.2
696	3205	9.6	8.1	90	9.83	230	36	313.6	344.4	315.4
683.7	3353	9.2	6.7	85	9.1	230	38	314.7	343.4	316.4
679	3411	9	6.2	83	8.83	230	38	315.1	343.1	316.8
665	3584	8.2	6.4	88	9.15	230	37	316.1	345.1	317.9
659	3658	7.8	5.8	87	8.82	230	37	316.5	344.5	318.1
654	3722	7.4	5.2	86	8.55	230	37	316.7	344	318.4
650	3772	7	5.4	90	8.73	230	37	316.8	344.6	318.5
635.2	3962	6.3	3.2	81	7.63	230	38	318.1	342.6	319.6
634	3978	6.2	3	80	7.55	230	38	318.2	342.5	319.6
629	4043	6.4	2.3	75	7.23	230	37	319.1	342.5	320.5
619	4174	5.8	-0.2	65	6.13	230	36	319.9	339.9	321.1
614	4241	5	-1	65	5.83	230	35	319.7	338.8	320.9
612	4267	4.8	-1.2	65	5.78	230	35	319.9	338.8	321
604	4375	4.2	-1.8	65	5.58	226	35	320.3	338.6	321.4
590	4566	3.4	1	84	7.02	220	35	321.6	344.5	322.9
589.6	4572	3.4	0.8	83	6.95	220	35	321.6	344.3	323
586	4621	3.4	-0.5	76	6.34	221	35	322.2	343	323.4
578	4733	3.4	-5.6	52	4.38	223	36	323.4	338.2	324.3
570	4846	2.6	-3.4	65	5.25	224	36	323.8	341.3	324.8
567.8	4877	2.5	-4.4	60	4.89	225	36	324.1	340.5	325
563	4946	2.4	-6.6	51	4.17	225	36	324.7	338.8	325.5
560	4989	2.4	-4.6	60	4.88	224	36	325.2	341.6	326.2
553	5091	2.2	-8.8	44	3.57	224	36	326.1	338.4	326.8
546	5194	1.6	-4.4	64	5.08	223	35	326.6	343.8	327.6
539	5298	1.4	-7.6	51	4.03	223	35	327.6	341.4	328.4
535	5358	0.8	-7.2	55	4.19	222	35	327.6	341.9	328.4
515	5664	-0.5	-11.5	43	3.1	221	34	329.6	340.4	330.2
506.9	5791	-1.4	-11.3	47	3.2	220	34	330	341.2	330.7
500	5900	-2.1	-11.1	50	3.29	220	35	330.4	341.9	331.1
487.8	6096	-3.7	-10.3	60	3.6	220	34	330.8	343.3	331.5
485	6141	-4.1	-10.1	63	3.68	220	34	330.8	343.6	331.6
469.2	6401	-6.3	-12.3	62	3.18	220	35	331.2	342.4	331.9
468	6421	-6.5	-12.5	62	3.15	220	35	331.2	342.3	331.9
451.1	6706	-8.5	-11.7	77	3.47	220	32	332.2	344.4	332.9
448	6760	-8.9	-11.6	81	3.53	222	32	332.4	344.8	333.1
445	6812	-8.9	-11.8	79	3.5	223	33	333	345.3	333.7
438	6935	-9.1	-13	73	3.23	228	34	334.3	345.7	334.9
435	6988	-9.7	-13.1	76	3.22	229	34	334.2	345.6	334.8
433.8	7010	-9.8	-13.9	72	3.03	230	34	334.3	345.1	334.9
414	7368	-11.7	-26.7	28	1.05	236	36	336.4	340.4	336.6
400.5	7620	-13.6	-20	59	1.97	240	37	337.1	344.3	337.5
400	7630	-13.7	-19.7	61	2.02	240	37	337.1	344.5	337.5
397	7687	-14.1	-20.1	60	1.96	240	37	337.3	344.5	337.7
388	7861	-15.3	-22.3	55	1.66	240	38	337.9	344.1	338.3
384.7	7925	-15.8	-22.3	58	1.67	240	38	338.1	344.3	338.4
382	7978	-16.3	-22.3	60	1.68	240	38	338.1	344.4	338.5
