pressure	height	temperature	dewpoint	rh	mixingratio	direction	sknt	thta	thte	thtv
1015	20	16	15.7	98	11.17	0	0	287.9	319.2	289.9
1005	106	19.7	17.5	87	12.71	5	11	292.4	328.6	294.6
1002	132	20.8	18.1	85	13.22	8	12	293.8	331.6	296.1
1000	149	21	17.4	80	12.66	10	12	294.1	330.5	296.4
993	210	20.8	15.9	74	11.57	16	13	294.5	327.9	296.6
985	280	21.2	15.2	69	11.14	23	15	295.6	327.9	297.6
983	298	21.1	15	68	11.03	25	15	295.7	327.7	297.7
965	458	20.2	13.3	64	10.04	30	11	296.4	325.7	298.2
964	467	20.2	13.2	64	9.98	30	11	296.4	325.6	298.2
949	602	19.1	12.5	65	9.69	25	8	296.7	325	298.4
930	776	17.8	11.6	67	9.33	20	9	297	324.3	298.7
925	822	17.4	11.4	68	9.23	15	8	297.1	324.2	298.8
917	896	16.7	11	69	9.07	5	7	297.1	323.7	298.8
888	1168	14.1	9.6	74	8.5	20	8	297.2	322.2	298.7
871	1332	12.6	8.7	77	8.17	7	9	297.2	321.3	298.7
869	1351	12.5	8.3	76	7.97	5	9	297.4	320.9	298.8
857	1467	12	6	67	6.89	14	10	298	318.5	299.2
850	1536	11.4	5.4	67	6.66	20	11	298.1	317.9	299.3
838	1655	10.7	4.3	64	6.23	25	14	298.6	317.2	299.7
825	1785	10	3	62	5.79	20	16	299.1	316.6	300.2
811	1927	8.8	1.8	61	5.4	14	18	299.3	315.7	300.3
801	2029	8.1	0.3	58	4.9	10	19	299.6	314.5	300.5
794	2102	7.6	-0.8	55	4.56	10	21	299.9	313.8	300.7
782	2227	6.7	-2.7	51	4.03	5	20	300.2	312.6	301
775	2301	6.2	-3.8	49	3.74	9	20	300.4	312	301.1
773	2322	6.1	-4	48	3.69	10	20	300.5	312	301.2
765	2408	5.6	-5	47	3.48	5	18	300.9	311.7	301.5
756	2504	5	-6	45	3.25	5	21	301.3	311.4	301.9
751	2559	4.8	-5.2	48	3.47	2	20	301.6	312.5	302.3
750	2569	4.8	-5.2	48	3.48	2	20	301.8	312.6	302.4
747	2602	4.7	-6.5	44	3.16	0	20	302	312	302.6
738	2701	4.5	-10.4	33	2.36	0	19	302.9	310.4	303.3
733	2756	4.4	-12.6	28	1.99	351	18	303.3	309.8	303.7
730	2789	4.3	-13.3	27	1.89	345	18	303.5	309.7	303.9
704	3084	3.2	-19.1	18	1.21	355	13	305.5	309.5	305.7
700	3130	3	-20	17	1.12	355	13	305.8	309.6	306
696	3176	2.7	-20.3	17	1.1	350	14	306	309.7	306.2
688	3269	2.2	-20.8	16	1.07	355	13	306.4	310	306.6
671	3470	0.9	-22.6	15	0.94	0	11	307.2	310.4	307.4
663	3566	0.3	-23.4	15	0.88	355	11	307.5	310.6	307.7
655	3663	-0.3	-24.3	14	0.82	352	12	307.9	310.8	308.1
648	3749	-0.8	-25.6	13	0.74	350	13	308.3	310.9	308.4
641	3835	-1.3	-27	12	0.66	335	12	308.7	311	308.8
635	3910	-1.7	-28.1	11	0.6	330	15	309	311.1	309.1
630	3973	-2.1	-29.1	11	0.55	334	15	309.3	311.3	309.4
612	4202	-2.7	-35.2	6	0.32	350	15	311.2	312.3	311.2
607	4267	-2.9	-36.9	5	0.27	350	17	311.7	312.7	311.7
603	4319	-3.2	-35.8	6	0.3	350	19	311.9	313.1	312
590	4490	-4.1	-32	9	0.44	350	17	312.8	314.4	312.9
582	4598	-4.7	-29.7	12	0.56	343	16	313.4	315.4	313.5
578	4652	-4.8	-30.8	11	0.51	340	16	313.9	315.7	313.9
574	4706	-4.9	-31.9	10	0.46	343	15	314.4	316.1	314.4
566	4816	-5.8	-34.8	8	0.35	350	12	314.6	315.9	314.6
560	4899	-6.5	-37	7	0.29	345	12	314.7	315.8	314.8
558	4927	-6.7	-37.7	6	0.27	345	12	314.8	315.8	314.8
554	4983	-7.2	-36.6	8	0.3	345	13	314.8	315.9	314.9
548	5067	-8	-34.9	10	0.36	350	13	314.8	316.2	314.9
546	5096	-8.3	-34.3	10	0.39	348	13	314.8	316.3	314.9
538	5210	-9.1	-38.1	7	0.27	341	11	315.2	316.2	315.3
537	5224	-9.2	-37.7	8	0.28	340	11	315.2	316.3	315.3
531	5311	-10	-35.1	11	0.37	345	10	315.4	316.7	315.4
525	5398	-10.7	-32.4	15	0.48	5	8	315.5	317.2	315.6
522	5442	-11.1	-31.1	17	0.55	1	9	315.5	317.6	315.6
513	5574	-12.2	-35	13	0.38	350	11	315.8	317.3	315.9
508	5649	-12.7	-37.2	11	0.31	0	9	316	317.2	316.1
502	5740	-13.5	-39.8	9	0.24	5	9	316.2	317.1	316.2
500	5770	-13.7	-40.7	8	0.22	5	10	316.3	317.1	316.3
497	5816	-14	-41.6	8	0.2	5	10	316.4	317.2	316.5
492	5892	-14.5	-43.1	7	0.17	355	9	316.8	317.4	316.8
490	5923	-14.7	-43.7	7	0.16	354	9	316.9	317.5	316.9
482	6047	-15.4	-43	7	0.18	350	8	317.5	318.2	317.5
468	6270	-16.7	-41.7	10	0.21	354	10	318.6	319.4	318.6
464	6334	-17.1	-42.1	9	0.2	355	11	318.9	319.7	318.9
463	6350	-17.2	-41.9	10	0.21	355	11	318.9	319.8	319
459	6415	-17.5	-40.9	11	0.23	0	11	319.3	320.2	319.4
454	6497	-18	-39.7	13	0.27	5	11	319.8	320.8	319.8
450	6563	-18.3	-38.7	15	0.3	10	10	320.1	321.3	320.2
446	6630	-18.7	-37.7	17	0.34	358	10	320.5	321.8	320.5
445	6646	-18.8	-37.7	17	0.34	355	10	320.5	321.8	320.6
441	6713	-19.4	-37.6	18	0.34	345	10	320.6	321.9	320.7
436	6797	-20.1	-37.5	20	0.35	345	11	320.7	322.1	320.8
425	6985	-21.8	-37.4	23	0.36	335	12	321	322.4	321
411	7232	-23.9	-37.1	29	0.39	345	17	321.3	322.8	321.4
410	7250	-24.1	-37.1	29	0.39	345	17	321.3	322.8	321.4
406	7322	-24.6	-39.2	25	0.32	345	19	321.6	322.8	321.6
400	7430	-25.3	-42.3	19	0.23	340	17	322	322.9	322.1
397	7485	-25.8	-43.1	18	0.21	340	17	322.1	323	322.1
391	7595	-26.7	-44.7	17	0.18	343	18	322.3	323	322.3
388	7651	-27.1	-44.5	18	0.19	345	18	322.5	323.3	322.6
386	7688	-27.3	-44.3	18	0.19	345	18	322.7	323.5	322.7
384	7725	-27.6	-44.2	19	0.2	345	17	322.7	323.5	322.8
375	7895	-29.1	-43.7	23	0.21	350	21	323	323.8	323
368	8030	-30.3	-43.3	27	0.23	347	20	323.1	324	323.2
362	8147	-31.2	-45.2	24	0.19	345	20	323.5	324.2	323.5
357	8245	-31.9	-46.9	21	0.16	343	19	323.8	324.4	323.8
346	8466	-33.9	-46.9	26	0.16	340	18	324	324.7	324
338	8628	-35.2	-48.5	24	0.14	340	17	324.4	325	324.5
331	8774	-36.3	-49.9	23	0.12	335	17	324.8	325.3	324.9
324	8922	-37.5	-51.3	22	0.11	335	17	325.2	325.7	325.2
319	9031	-38.3	-52.3	22	0.1	333	17	325.5	325.9	325.5
302	9405	-41.7	-53	28	0.09	325	17	325.9	326.3	325.9
300	9450	-42.1	-53.1	29	0.09	325	16	325.9	326.3	325.9
295	9564	-43.1	-53.5	31	0.09	315	15	326.1	326.4	326.1
292	9633	-43.7	-53.7	32	0.09	311	16	326.2	326.5	326.2
291	9656	-43.9	-53.7	33	0.09	310	17	326.2	326.6	326.2
284	9819	-45.2	-53.8	37	0.09	320	19	326.7	327.1	326.7
280	9914	-45.9	-53.9	40	0.09	320	19	326.9	327.3	326.9
277	9985	-46.4	-54.7	38	0.08	320	19	327.2	327.5	327.2
270	10155	-47.7	-56.7	35	0.07	316	17	327.7	328	327.7
265	10279	-48.7	-56.7	39	0.07	314	15	328	328.3	328
262	10354	-49.1	-57.1	39	0.06	312	14	328.5	328.8	328.5
258	10454	-50	-57.3	42	0.06	310	13	328.7	329	328.7
250	10660	-51.7	-57.7	48	0.06	320	17	329.1	329.3	329.1
246	10764	-52.3	-58.3	48	0.06	320	17	329.7	329.9	329.7
244	10817	-52.7	-58.7	48	0.06	320	16	329.9	330.1	329.9
242	10870	-53.1	-59.1	48	0.05	320	16	330.1	330.3	330.1
240	10923	-53.5	-59.5	48	0.05	320	16	330.2	330.5	330.2
239	10950	-53.7	-59.7	48	0.05	320	16	330.4	330.6	330.4
233	11113	-54.7	-60.7	47	0.05	325	17	331.2	331.4	331.2
230	11195	-54.9	-61.2	45	0.04	320	18	332.2	332.4	332.2
227	11279	-55	-61.8	43	0.04	325	20	333.2	333.4	333.2
225	11335	-55.1	-62.1	41	0.04	321	19	333.9	334.1	333.9
219	11507	-56.4	-63.4	41	0.03	310	15	334.4	334.6	334.4
217	11565	-56.9	-63.9	41	0.03	311	16	334.6	334.8	334.6
212	11712	-57.7	-64.7	40	0.03	315	18	335.6	335.7	335.6
210	11772	-57.6	-65.1	38	0.03	315	18	336.7	336.8	336.7
208	11832	-57.5	-65.5	35	0.03	317	21	337.7	337.9	337.8
203	11986	-56.9	-65.9	31	0.03	322	27	341.1	341.2	341.1
200	12080	-55.7	-64.7	32	0.03	325	31	344.4	344.6	344.4
197	12177	-54.9	-64.5	29	0.03	330	30	347.1	347.3	347.1
195	12242	-54.4	-64.4	28	0.03	320	23	349	349.1	349
190	12409	-53.1	-64	25	0.04	315	29	353.7	353.9	353.7
185	12580	-51.7	-63.7	22	0.04	307	26	358.6	358.8	358.6
184	12615	-51.8	-63.8	22	0.04	305	25	359.1	359.3	359.1
180	12758	-52.1	-64.1	22	0.04	301	23	360.8	361	360.8
179	12794	-52	-64.2	22	0.04	300	23	361.5	361.7	361.5
175	12940	-51.7	-64.7	20	0.04	288	26	364.4	364.6	364.4
174	12977	-51.8	-64.8	20	0.04	285	27	364.9	365.1	364.9
172	13052	-51.9	-64.8	20	0.04	290	31	365.9	366.1	365.9
171	13090	-51.9	-64.9	20	0.04	292	30	366.5	366.6	366.5
166	13282	-51.3	-65.3	17	0.04	300	25	370.6	370.8	370.6
159	13562	-50.9	-65.9	15	0.03	295	24	375.9	376	375.9
157	13644	-51	-66.5	14	0.03	290	26	377	377.2	377.1
155	13727	-51.1	-67.1	13	0.03	293	28	378.2	378.4	378.3
151	13897	-51.1	-67.1	13	0.03	300	32	381.1	381.2	381.1
150	13940	-51.1	-67.1	13	0.03	300	33	381.8	382	381.8
145	14160	-51.6	-68.4	12	0.03	295	24	384.7	384.8	384.7
144	14205	-51.7	-68.7	11	0.03	297	23	385.2	385.4	385.3
143	14250	-51.7	-69.2	11	0.02	300	22	386	386.1	386
142	14296	-51.7	-69.7	10	0.02	302	24	386.8	386.9	386.8
141	14342	-51.8	-69.9	10	0.02	305	25	387.3	387.4	387.3
139	14434	-52.1	-70.4	9	0.02	305	27	388.4	388.5	388.4
133	14719	-53	-71.8	8	0.02	285	15	391.8	391.9	391.8
131	14817	-53.3	-72.3	8	0.02	285	17	392.9	393	392.9
126	15067	-54	-73.8	7	0.01	295	25	396.2	396.2	396.2
124	15170	-54.2	-74.4	7	0.01	295	24	397.5	397.6	397.5
121	15327	-54.6	-75.3	6	0.01	305	21	399.6	399.6	399.6
119	15434	-54.9	-75.9	6	0.01	300	20	400.9	401	400.9
116	15597	-55.6	-77	5	0.01	285	24	402.6	402.7	402.6
114	15708	-56	-77.7	5	0.01	285	21	403.8	403.8	403.8
112	15820	-56.5	-78.5	5	0.01	285	18	405	405	405
111	15877	-56.6	-78.8	5	0.01	285	17	405.9	405.9	405.9
107	16110	-56.9	-79.9	4	0.01	297	24	409.5	409.6	409.5
106	16170	-56.7	-79.9	4	0.01	300	26	410.9	411	410.9
103	16352	-56.2	-79.8	4	0.01	310	20	415.3	415.3	415.3
100	16540	-55.7	-79.7	3	0.01	305	16	419.8	419.9	419.8
99	16604	-55.8	-80	3	0.01	305	16	420.8	420.8	420.8
97	16733	-56.1	-80.7	3	0.01	305	13	422.7	422.7	422.7
96	16798	-56.3	-81	3	0.01	305	12	423.6	423.7	423.6
92	17068	-56.9	-82.3	3	0	285	19	427.6	427.7	427.6
90	17207	-57.2	-83	2	0	290	20	429.7	429.8	429.7
89.2	17263	-57.3	-83.3	2	0	298	18	430.6	430.6	430.6
89	17277	-57.3	-83.3	2	0	300	18	430.9	430.9	430.9
88	17349	-57.1	-83.3	2	0	300	20	432.7	432.7	432.7
85	17568	-56.5	-83.2	2	0	305	25	438.2	438.2	438.2
83	17718	-56.1	-83.1	2	0	321	20	442	442	442
82.2	17780	-56.1	-83.1	2	0	327	18	443.2	443.2	443.2
80	17952	-56	-83	2	0.01	345	12	446.8	446.9	446.8
79	18032	-56	-83	2	0.01	10	9	448.5	448.6	448.5
78	18112	-55.9	-82.9	2	0.01	50	6	450.2	450.3	450.2
77.3	18169	-55.9	-82.9	2	0.01	43	3	451.5	451.5	451.5
77	18194	-55.9	-82.7	2	0.01	40	2	452	452	452
75.7	18302	-55.9	-81.9	3	0.01	319	3	454.2	454.2	454.2
75	18361	-55.8	-81.9	2	0.01	275	3	455.7	455.7	455.7
74	18447	-55.5	-82	2	0.01	275	7	457.9	458	457.9
73	18533	-55.3	-82	2	0.01	265	6	460.2	460.2	460.2
72.1	18612	-55.1	-82.1	2	0.01	287	6	462.2	462.3	462.2
71.4	18674	-55.1	-82.1	2	0.01	305	5	463.5	463.6	463.5
71	18710	-55.1	-81.5	2	0.01	315	5	464.3	464.3	464.3
70.7	18737	-55.1	-81.1	3	0.01	311	5	464.8	464.9	464.8
70	18800	-55.3	-81.3	3	0.01	300	5	465.7	465.8	465.7
69	18892	-55.5	-81.5	3	0.01	275	7	467.3	467.3	467.3
68	18985	-55.7	-81.7	3	0.01	285	11	468.8	468.9	468.8
67.8	19004	-55.7	-81.7	3	0.01	291	11	469.1	469.2	469.1
66	19175	-55.6	-81.6	3	0.01	350	8	473	473	473
65	19272	-55.5	-81.5	3	0.01	20	7	475.2	475.2	475.2
64.3	19341	-55.5	-81.5	3	0.01	37	5	476.7	476.8	476.7
64	19371	-55.6	-81.6	3	0.01	45	4	477.2	477.3	477.2
63	19471	-55.8	-81.8	3	0.01	30	4	478.8	478.9	478.8
62	19573	-56.1	-82.1	2	0.01	350	5	480.4	480.5	480.4
61	19676	-56.3	-82.3	2	0.01	325	6	482.1	482.2	482.1
60	19781	-56.6	-82.6	2	0.01	340	8	483.8	483.9	483.8
59.6	19824	-56.7	-82.7	2	0.01	352	8	484.5	484.6	484.5
59	19888	-56.5	-82.5	2	0.01	10	9	486.3	486.4	486.3
57.7	20030	-56.1	-82.1	2	0.01	31	9	490.4	490.4	490.4
56	20219	-56.3	-82.3	2	0.01	60	9	494.1	494.1	494.1
55	20334	-56.5	-82.5	2	0.01	60	9	496.3	496.4	496.3
54.7	20369	-56.5	-82.5	2	0.01	61	9	497	497	497
54.6	20380	-56.5	-82.5	2	0.01	62	9	497.2	497.3	497.2
54	20451	-56.4	-82.4	2	0.01	65	8	499.1	499.1	499.1
53	20569	-56.2	-82.2	2	0.01	65	9	502.2	502.3	502.2
52	20690	-56	-82	2	0.01	75	8	505.4	505.5	505.4
51.6	20739	-55.9	-81.9	3	0.01	71	10	506.7	506.8	506.7
51	20814	-55.8	-81.8	3	0.01	65	12	508.8	508.9	508.8
50	20940	-55.5	-81.5	3	0.01	70	14	512.2	512.3	512.2
49.9	20953	-55.5	-81.5	3	0.01	72	14	512.5	512.6	512.5
